# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
  DJPMMEHC_00005      K02480  239.40  131.6   3.6e-39 two-component system, NarL family, sensor kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K20263  367.97  112.3   2.5e-33 two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]
  DJPMMEHC_00005      K07681  390.33  108.9   2.9e-32 two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]
  DJPMMEHC_00005      K07682  211.03   98.9   2.9e-29 two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]
  DJPMMEHC_00005      K07683  270.20   98.6   3.8e-29 two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]
  DJPMMEHC_00005      K07778  172.60   90.0   1.5e-26 two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]
  DJPMMEHC_00005      K02486  318.27   82.6   2.1e-24 two-component system, sensor kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K07680  215.50   79.1   2.3e-23 two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]
  DJPMMEHC_00005      K07651  509.07   71.5   5.8e-21 two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]
  DJPMMEHC_00005      K18940  371.37   61.9   4.8e-18 two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]
  DJPMMEHC_00005      K00936  113.13   51.6   6.9e-15 two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]
  DJPMMEHC_00005      K07653  380.40   46.4   2.7e-13 two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]
  DJPMMEHC_00005      K18143  339.60   45.2   5.9e-13 two-component system, OmpR family, sensor histidine kinase AdeS [EC:2.7.13.3]
  DJPMMEHC_00005      K13598  298.90   45.0   4.7e-13 two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
  DJPMMEHC_00005      K14988  175.67   44.3   9.4e-13 two-component system, NarL family, secretion system sensor histidine kinase SalK
  DJPMMEHC_00005      K07646  252.67   40.0   1.5e-11 two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
  DJPMMEHC_00005      K02478  236.33   37.9     9e-11 two-component system, LytTR family, sensor kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K07636  323.30   37.5   1.3e-10 two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
  DJPMMEHC_00005      K04757   52.13   37.2   1.9e-10 serine/threonine-protein kinase RsbW [EC:2.7.11.1]
  DJPMMEHC_00005      K14978  488.67   36.8   1.3e-10 two-component system, LuxR family, secretion system sensor histidine kinase SsrA
  DJPMMEHC_00005      K14986  302.83   35.0     7e-10 two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
  DJPMMEHC_00005      K07709  323.77   34.4     1e-09 two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]
  DJPMMEHC_00005      K07655  395.90   34.0   1.5e-09 two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]
  DJPMMEHC_00005      K07649  427.87   33.3   1.7e-09 two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
  DJPMMEHC_00005      K07645  405.77   33.2   1.6e-09 two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]
  DJPMMEHC_00005      K07642  354.33   32.8   3.2e-09 two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]
  DJPMMEHC_00005      K02484  302.80   32.1   6.2e-09 two-component system, OmpR family, sensor kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K19622  329.60   31.8   8.1e-09 two-component system, response regulator PhcR
  DJPMMEHC_00005      K07644  408.23   31.8   6.9e-09 two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
  DJPMMEHC_00005      K07678  639.73   31.2   7.8e-09 two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
  DJPMMEHC_00005      K05876  629.13   30.5   1.5e-08 methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor
  DJPMMEHC_00005      K07638  333.50   30.4   1.8e-08 two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]
  DJPMMEHC_00005      K10819  320.23   30.1   1.8e-08 histidine kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K15011  206.87   27.6   1.1e-07 two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
  DJPMMEHC_00005      K05877  738.87   27.4   1.4e-07 methyl-accepting chemotaxis protein IV, peptide sensor receptor
  DJPMMEHC_00005      K07768  338.03   26.9   2.5e-07 two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]
  DJPMMEHC_00005      K18351  288.00   26.6   1.9e-07 two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
  DJPMMEHC_00005      K07216   77.07   25.8   4.3e-07 hemerythrin
  DJPMMEHC_00005      K03776  402.27   25.7   4.3e-07 aerotaxis receptor
  DJPMMEHC_00005      K06379  151.07   25.6   6.8e-07 stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]
  DJPMMEHC_00005      K14980  303.40   25.2   5.6e-07 two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]
  DJPMMEHC_00005      K07654  327.10   24.5   8.4e-07 two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]
  DJPMMEHC_00005      K17752  101.13   24.4   1.8e-06 serine/threonine-protein kinase RsbT [EC:2.7.11.1]
  DJPMMEHC_00005      K11527  624.80   21.8   4.6e-06 two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
  DJPMMEHC_00005      K11357  428.77   20.6   1.5e-05 two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]
  DJPMMEHC_00005      K07716  394.13   20.5   1.7e-05 two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]
  DJPMMEHC_00005      K07641  311.20   20.4   2.1e-05 two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]
  DJPMMEHC_00005      K02476  526.60   19.0   3.3e-05 two-component system, CitB family, sensor kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K13533  401.10   19.0   4.2e-05 two-component system, sporulation sensor kinase E [EC:2.7.13.3]
  DJPMMEHC_00005      K07717  227.67   18.8   4.7e-05 two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]
  DJPMMEHC_00005      K21021  272.27   18.0   0.00016 diguanylate cyclase [EC:2.7.7.65]
  DJPMMEHC_00005      K07698  405.87   17.4   0.00015 two-component system, sporulation sensor kinase C [EC:2.7.13.3]
  DJPMMEHC_00005      K10942  281.00   17.3   0.00015 two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]
  DJPMMEHC_00005      K06721  303.47   14.3    0.0015 C-type lectin domain family 10 member A
  DJPMMEHC_00005      K07679  609.43   12.2     0.003 two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
  DJPMMEHC_00005      K13582  270.37    9.6     0.028 localization factor PodJL
  DJPMMEHC_00005      K03406   58.93    9.3     0.047 methyl-accepting chemotaxis protein
  DJPMMEHC_00005      K01768  159.03    8.8     0.037 adenylate cyclase [EC:4.6.1.1]
  DJPMMEHC_00005      K20974  515.67    8.5      0.05 two-component system, sensor histidine kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K03561   51.87    7.9      0.25 biopolymer transport protein ExbB
  DJPMMEHC_00005      K18461   98.97    7.2      0.18 WAS protein family homolog 1
  DJPMMEHC_00005      K02482  274.53    7.0      0.18 two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
  DJPMMEHC_00005      K03407  491.93    6.1      0.29 two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
  DJPMMEHC_00005      K02491  462.73    1.9       5.9 two-component system, sporulation sensor kinase A [EC:2.7.13.3]
  DJPMMEHC_00005      K10756  300.93    1.6       8.7 replication factor C subunit 3/5
  DJPMMEHC_00005      K02067   83.47   -1.1        82 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
* DJPMMEHC_00006      K08591   66.33  238.3     1e-71 acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]
  DJPMMEHC_00006      K06382  245.30   13.4    0.0015 stage II sporulation protein E [EC:3.1.3.16]
  DJPMMEHC_00006      K05770   25.30    8.3      0.14 translocator protein
  DJPMMEHC_00006      K18967  241.73    7.9      0.14 diguanylate cyclase [EC:2.7.7.65]
  DJPMMEHC_00006      K07778  172.60    6.6      0.27 two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]
  DJPMMEHC_00006      K06383  108.07    5.7       0.5 stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]
  DJPMMEHC_00006      K07090   40.93    3.2       2.9 uncharacterized protein
* DJPMMEHC_00007      K01633   94.33  122.9   1.4e-36 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]
  DJPMMEHC_00007      K13940  257.17   75.9   3.8e-22 dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]
  DJPMMEHC_00007      K07589  128.17   74.5   6.1e-22 D-erythro-7,8-dihydroneopterin triphosphate epimerase [EC:5.1.99.7]
  DJPMMEHC_00007      K14661   84.10    7.4      0.57 nodulation protein F [EC:2.3.1.-]
  DJPMMEHC_00009      K07326  464.07  201.6   1.9e-60 hemolysin activation/secretion protein
  DJPMMEHC_00009      K11017  428.90  106.1   1.7e-31 hemolysin activation/secretion protein
* DJPMMEHC_00010      K16087  344.10  517.5  7.5e-156 hemoglobin/transferrin/lactoferrin receptor protein
  DJPMMEHC_00010      K16089  450.00  283.4   4.9e-85 outer membrane receptor for ferrienterochelin and colicins
  DJPMMEHC_00010      K16092  410.67  277.6   3.6e-83 vitamin B12 transporter
* DJPMMEHC_00010      K02014  159.40  253.3   6.7e-76 iron complex outermembrane recepter protein
  DJPMMEHC_00010      K16152  670.43  209.6   7.9e-63 heme acquisition protein HasR
  DJPMMEHC_00010      K19611  438.57  181.9   2.7e-54 ferric enterobactin receptor
  DJPMMEHC_00010      K16091  330.20  161.2   2.9e-48 Fe(3+) dicitrate transport protein
  DJPMMEHC_00010      K16090  575.13  154.6     3e-46 catecholate siderophore receptor
  DJPMMEHC_00010      K16088  471.70   49.2   2.9e-14 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
  DJPMMEHC_00010      K15721  575.83   47.7   6.8e-14 pesticin/yersiniabactin receptor
  DJPMMEHC_00010      K08720  179.50   15.7   0.00084 outer membrane protein OmpU
* DJPMMEHC_00011      K12982  310.33  499.4  4.4e-151 heptosyltransferase I [EC:2.4.-.-]
  DJPMMEHC_00011      K02843  271.00  191.7     2e-57 heptosyltransferase II [EC:2.4.-.-]
  DJPMMEHC_00011      K02841  233.03  184.8   2.5e-55 heptosyltransferase I [EC:2.4.-.-]
  DJPMMEHC_00011      K02849  293.80  184.5   4.3e-55 heptosyltransferase III [EC:2.4.-.-]
  DJPMMEHC_00011      K03277  474.00   31.8   6.7e-09 heptosyltransferase IV [EC:2.4.-.-]
* DJPMMEHC_00012      K11211  153.33  309.5   1.4e-93 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]
  DJPMMEHC_00012      K08851  219.63   49.6     2e-14 TP53 regulating kinase and related kinases [EC:2.7.11.1]
  DJPMMEHC_00012      K07179  168.73   34.8     7e-10 RIO kinase 2 [EC:2.7.11.1]
  DJPMMEHC_00012      K15904  632.87   29.3   2.2e-08 bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]
  DJPMMEHC_00012      K07178  162.43   26.0     4e-07 RIO kinase 1 [EC:2.7.11.1]
  DJPMMEHC_00012      K02204  133.10   25.9   4.5e-07 homoserine kinase type II [EC:2.7.1.39]
  DJPMMEHC_00012      K18844  125.73   24.0   2.2e-06 spectinomycin phosphotransferase
  DJPMMEHC_00012      K11916  294.77   21.4   1.3e-05 serine/threonine-protein kinase Stk1 [EC:2.7.11.-]
  DJPMMEHC_00012      K18201  148.10   21.0   1.1e-05 hydroxylysine kinase [EC:2.7.1.81]
  DJPMMEHC_00012      K00871  320.97   20.7   1.3e-05 phosphorylase kinase gamma subunit [EC:2.7.11.19]
  DJPMMEHC_00012      K08884  357.33   18.3   7.4e-05 serine/threonine protein kinase, bacterial [EC:2.7.11.1]
  DJPMMEHC_00012      K12132  225.40   16.9    0.0002 eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
  DJPMMEHC_00012      K08282  321.50   16.5   0.00023 non-specific serine/threonine protein kinase [EC:2.7.11.1]
  DJPMMEHC_00012      K13792  203.17   16.2   0.00057 secreted effector OspG
  DJPMMEHC_00012      K06331  283.77   14.9   0.00095 spore coat protein I
  DJPMMEHC_00012      K00897  246.73   14.7    0.0012 kanamycin kinase [EC:2.7.1.95]
  DJPMMEHC_00012      K07251  103.83   14.6    0.0016 thiamine kinase [EC:2.7.1.89]
  DJPMMEHC_00012      K17910  193.63   13.7    0.0023 aminoglycoside 2''-phosphotransferase [EC:2.7.1.190]
  DJPMMEHC_00012      K02850  195.13   13.2    0.0038 heptose II phosphotransferase [EC:2.7.1.-]
  DJPMMEHC_00012      K17880  120.27   12.0    0.0079 hygromycin-B 7''-O-kinase [EC:2.7.1.119]
  DJPMMEHC_00012      K17535  347.77   10.6     0.014 serine/threonine-protein kinase TNNI3K [EC:2.7.11.1]
  DJPMMEHC_00012      K24914  726.03   10.4     0.011 probable SapB synthase
  DJPMMEHC_00012      K18669  526.43   10.3     0.016 dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]
* DJPMMEHC_00013      K02428  130.60  247.9   1.8e-74 XTP/dITP diphosphohydrolase [EC:3.6.1.66]
  DJPMMEHC_00013      K01519  191.73   90.8   7.7e-27 inosine triphosphate pyrophosphatase [EC:3.6.1.-]
  DJPMMEHC_00013      K00989  244.80   68.5   4.7e-20 ribonuclease PH [EC:2.7.7.56]
  DJPMMEHC_00013      K00099  239.50   12.8    0.0038 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
  DJPMMEHC_00014      K03276  447.67  121.7     3e-36 UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]
  DJPMMEHC_00014      K03279  281.00  110.7   8.1e-33 UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]
  DJPMMEHC_00014      K03275  523.83  106.2   1.6e-31 UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
  DJPMMEHC_00014      K03278  607.83   83.4   1.5e-24 UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]
  DJPMMEHC_00014      K12985  645.60   59.9   2.3e-17 (galactosyl)LPS 1,2-glucosyltransferase [EC:2.4.1.-]
  DJPMMEHC_00014      K00750  181.07   13.1    0.0028 glycogenin [EC:2.4.1.186]
* DJPMMEHC_00016      K05809  117.80  169.8   1.7e-51 ribosome-associated inhibitor A
  DJPMMEHC_00016      K05808   91.77   77.3   1.1e-22 putative sigma-54 modulation protein
  DJPMMEHC_00016      K05580  156.80   11.2     0.018 NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]
* DJPMMEHC_00017      K07287   36.47   43.0   3.9e-12 outer membrane protein assembly factor BamC
  DJPMMEHC_00017      K06078   36.80   13.8    0.0047 murein lipoprotein
  DJPMMEHC_00017      K07285   42.53   13.4     0.003 outer membrane lipoprotein
  DJPMMEHC_00017      K07286   57.67   13.2    0.0045 uncharacterized lipoprotein
  DJPMMEHC_00017      K03202   30.07   12.7     0.017 type IV secretion system protein VirB7
* DJPMMEHC_00018      K01714  252.37  361.9  5.2e-109 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
  DJPMMEHC_00018      K22397  317.90  233.6   2.5e-70 2-dehydro-3-deoxy-D-pentonate aldolase [EC:4.1.2.28]
  DJPMMEHC_00018      K21062  285.73  221.4   1.4e-66 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]
  DJPMMEHC_00018      K18123  285.13  170.4   5.8e-51 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
  DJPMMEHC_00018      K01639  258.07  158.7   1.8e-47 N-acetylneuraminate lyase [EC:4.1.3.3]
  DJPMMEHC_00018      K11395  280.43  140.1   7.4e-42 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]
  DJPMMEHC_00018      K18127  308.03  127.1   7.4e-38 2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]
  DJPMMEHC_00018      K13876  283.87  122.5   1.4e-36 2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
  DJPMMEHC_00018      K01707  263.57  120.0   8.1e-36 5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]
  DJPMMEHC_00018      K14585  420.67   87.0   1.3e-25 trans-o-hydroxybenzylidenepyruvate hydratase-aldolase [EC:4.1.2.45]
  DJPMMEHC_00018      K11946  694.47   82.8   2.3e-24 hydratase-aldolase [EC:4.1.2.-]
  DJPMMEHC_00018      K11949  561.87   61.1   7.6e-18 4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase [EC:4.1.2.34]
  DJPMMEHC_00018      K06201   47.53   16.4   0.00036 copper homeostasis protein
* DJPMMEHC_00019      K03564  153.93  205.1   1.7e-61 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  DJPMMEHC_00019      K24120  171.40   98.9   2.4e-29 mycoredoxin-dependent peroxiredoxin [EC:1.11.1.29]
  DJPMMEHC_00019      K24129  143.67   98.0   5.5e-29 glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]
  DJPMMEHC_00019      K24130  418.67   87.8   6.4e-26 glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]
  DJPMMEHC_00019      K03386  232.73   67.9   1.1e-19 peroxiredoxin 2/4 [EC:1.11.1.24]
  DJPMMEHC_00019      K11065  125.60   57.3   1.4e-16 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  DJPMMEHC_00019      K13279  395.10   49.8     3e-14 peroxiredoxin 1 [EC:1.11.1.24]
  DJPMMEHC_00019      K20011  368.53   43.2   3.3e-12 peroxiredoxin 3 [EC:1.11.1.24 1.11.1.25]
  DJPMMEHC_00019      K24158  308.77   41.2   9.2e-12 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  DJPMMEHC_00019      K24119  251.63   41.1   1.2e-11 NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]
  DJPMMEHC_00019      K24126  219.83   36.6   2.7e-10 lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]
  DJPMMEHC_00019      K02199   79.60   31.3   1.3e-08 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
  DJPMMEHC_00019      K07152   55.93   28.8   9.8e-08 protein SCO1
  DJPMMEHC_00019      K20207  266.53   22.0   7.7e-06 hydroperoxy fatty acid reductase [EC:1.11.1.22]
  DJPMMEHC_00019      K23755  346.03   17.8   0.00016 protein SCO2
  DJPMMEHC_00019      K24157  252.23   16.8   0.00033 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  DJPMMEHC_00019      K00432   49.40   13.9    0.0027 glutathione peroxidase [EC:1.11.1.9]
  DJPMMEHC_00019      K24136  333.23   12.0    0.0079 glutathione-dependent peroxiredoxin [EC:1.11.1.27]
* DJPMMEHC_00020      K03561   51.87  100.6   1.5e-29 biopolymer transport protein ExbB
  DJPMMEHC_00020      K03562  257.27   75.9   3.1e-22 biopolymer transport protein TolQ
  DJPMMEHC_00020      K02556   97.17   30.8   1.6e-08 chemotaxis protein MotA
  DJPMMEHC_00020      K11689  135.33   13.0    0.0049 C4-dicarboxylate transporter, DctQ subunit
  DJPMMEHC_00020      K21394   83.40    5.3       1.1 TRAP-type transport system small permease protein
* DJPMMEHC_00021      K03559   27.37  118.3   3.7e-35 biopolymer transport protein ExbD
  DJPMMEHC_00021      K03560  153.67   95.4   3.6e-28 biopolymer transport protein TolR
  DJPMMEHC_00021      K19296   98.07   23.1   5.2e-06 alginate O-acetyltransferase complex protein AlgF
* DJPMMEHC_00022      K03832   32.00  107.0   1.6e-31 periplasmic protein TonB
  DJPMMEHC_00022      K03646   61.07   40.5   2.5e-11 colicin import membrane protein
  DJPMMEHC_00022      K03749   80.27   28.8   1.1e-07 DedD protein
  DJPMMEHC_00022      K12284  105.03   27.3   2.4e-07 MSHA biogenesis protein MshN
  DJPMMEHC_00022      K03195  227.13   26.0   5.3e-07 type IV secretion system protein VirB10
  DJPMMEHC_00022      K02451   64.97   22.1   1.1e-05 general secretion pathway protein B
  DJPMMEHC_00022      K03112   60.57   18.6   0.00012 DamX protein
  DJPMMEHC_00022      K03558   45.07   13.0    0.0053 membrane protein required for colicin V production
  DJPMMEHC_00022      K20265  207.50   12.4    0.0034 glutamate:GABA antiporter
  DJPMMEHC_00022      K03885  210.50   12.3    0.0042 NADH:ubiquinone reductase (H+-translocating) [EC:7.1.1.2]
  DJPMMEHC_00022      K24160  168.33   11.4    0.0062 sodium/hydrogen antiporter
  DJPMMEHC_00022      K13733  606.07   11.0    0.0093 fibronectin-binding protein B
  DJPMMEHC_00022      K07186   81.53   10.9     0.023 membrane protein
  DJPMMEHC_00022      K01732  204.30   10.4      0.02 pectin lyase [EC:4.2.2.10]
  DJPMMEHC_00022      K12070   81.27    8.4     0.068 conjugal transfer pilus assembly protein TraI
  DJPMMEHC_00022      K20470  760.17    8.2     0.056 trehalose monomycolate/heme transporter
  DJPMMEHC_00022      K08699  167.37    6.5      0.53 carbon dioxide concentrating mechanism protein CcmN
  DJPMMEHC_00022      K11913  353.73    6.4      0.38 type VI secretion system protein
  DJPMMEHC_00022      K13856 1729.07    5.2      0.35 solute carrier family 4 (anion exchanger), member 3
  DJPMMEHC_00022      K00728  153.93    4.2      0.91 dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
  DJPMMEHC_00022      K08643 1650.53    2.4       1.7 zinc metalloprotease ZmpB [EC:3.4.24.-]
  DJPMMEHC_00022      K08289  260.50    0.2        26 phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
* DJPMMEHC_00023      K03111   24.73  203.9   3.9e-61 single-strand DNA-binding protein
  DJPMMEHC_00023      K02686   44.17   12.0     0.013 primosomal replication protein N
* DJPMMEHC_00024      K03701  370.63 1514.2         0 excinuclease ABC subunit A
  DJPMMEHC_00024      K16014  920.83  133.2   9.1e-40 ATP-binding cassette, subfamily C, bacterial CydCD
  DJPMMEHC_00024      K13896  797.47  108.4   3.3e-32 microcin C transport system ATP-binding protein
  DJPMMEHC_00024      K00400  550.73  108.2   3.8e-32 methyl coenzyme M reductase system, component A2
  DJPMMEHC_00024      K02031  395.20   91.1   7.1e-27 peptide/nickel transport system ATP-binding protein
  DJPMMEHC_00024      K23537  585.10   89.2   1.9e-26 general nucleoside transport system ATP-binding protein
  DJPMMEHC_00024      K10820  639.67   85.2   3.2e-25 galactofuranose transport system ATP-binding protein [EC:7.5.2.9]
  DJPMMEHC_00024      K01552  410.27   83.4   1.3e-24 energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]
  DJPMMEHC_00024      K10562  701.97   81.1   4.9e-24 rhamnose transport system ATP-binding protein [EC:7.5.2.-]
  DJPMMEHC_00024      K05665 1609.37   80.5   5.9e-24 ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]
  DJPMMEHC_00024      K24040  612.13   80.3   7.2e-24 energy-coupling factor transport system permease/ATP-binding protein [EC:7.-.-.-]
  DJPMMEHC_00024      K11607  412.77   79.0   2.7e-23 manganese/iron transport system ATP-binding protein
  DJPMMEHC_00024      K10558  574.93   77.5   7.5e-23 AI-2 transport system ATP-binding protein
  DJPMMEHC_00024      K10548  728.90   75.9   2.1e-22 putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
  DJPMMEHC_00024      K15578  427.17   75.8   3.1e-22 nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]
  DJPMMEHC_00024      K19079  442.77   71.8   4.8e-21 cationic antimicrobial peptide transport system ATP-binding protein
  DJPMMEHC_00024      K13892  956.43   71.4     5e-21 glutathione transport system ATP-binding protein
  DJPMMEHC_00024      K10551  678.97   71.3   5.6e-21 D-allose transport system ATP-binding protein [EC:7.5.2.8]
  DJPMMEHC_00024      K10111  532.93   69.9   1.8e-20 multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
  DJPMMEHC_00024      K17215  730.17   69.3   1.9e-20 inositol transport system ATP-binding protein
  DJPMMEHC_00024      K10112  531.00   68.5   5.2e-20 multiple sugar transport system ATP-binding protein
