SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
IIBCLGFB_00620	1	386	+	phosphoglycerate_kinase	1-387/387	1/1	99.74	72.6	victors	NP_249243.1	Victors_15595749	gi|15595749|ref|NP_249243.1| phosphoglycerate kinase [Pseudomonas aeruginosa PAO1]
IIBCLGFB_00622	1	70	+	ferredoxin	1-70/70	0/0	100.0	98.6	victors	NP_438685.1	Victors_16272471	gi|16272471|ref|NP_438685.1| ferredoxin [Haemophilus influenzae Rd KW20]
IIBCLGFB_00631	5	202	+	urease_accessory_protein_UreG	2-199/199	0/0	99.5	73.7	victors	YP_002300712.1	Victors_210134273	gi|210134273|ref|YP_002300712.1| urease accessory protein UreG [Helicobacter pylori P12]
IIBCLGFB_00634	5	572	+	urease_subunit_beta	4-569/569	3/6	99.12	62.1	victors	NP_206872.1	Victors_15644702	gi|15644702|ref|NP_206872.1| urease subunit beta [Helicobacter pylori 26695]
IIBCLGFB_00646	1	270	+	dimethyladenosine_transferase	1-265/272	1/5	97.43	67.0	victors	YP_069175.1	Victors_51594984	gi|51594984|ref|YP_069175.1| dimethyladenosine transferase [Yersinia pseudotuberculosis IP 32953]
IIBCLGFB_00653	4	486	+	glucose-6-phosphate_1-dehydrogenase	6-489/501	1/1	96.41	68.0	victors	YP_001215182.1	Victors_147671692	gi|147671692|ref|YP_001215182.1| glucose-6-phosphate 1-dehydrogenase [Vibrio cholerae O395]
IIBCLGFB_00659	1	330	+	asparagine_synthetase_AsnA	1-330/330	0/0	100.0	78.5	victors	NP_346397.1	Victors_15901793	gi|15901793|ref|NP_346397.1| asparagine synthetase AsnA [Streptococcus pneumoniae TIGR4]
IIBCLGFB_00676	1	393	+	elongation_factor_Tu	1-393/394	0/0	99.75	82.4	victors	NP_273197.1	Victors_15676067	gi|15676067|ref|NP_273197.1| elongation factor Tu [Neisseria meningitidis MC58]
IIBCLGFB_00684	1	189	+	RNA_polymerase_sigma_factor_RpoE	1-189/189	0/0	100.0	100.0	victors	YP_248295.1	Victors_68249183	gi|68249183|ref|YP_248295.1| RNA polymerase sigma factor RpoE [Haemophilus influenzae 86-028NP]
IIBCLGFB_00699	6	325	+	recombinase_A	15-335/361	1/1	88.64	70.1	victors	NP_698206.1	Victors_23502079	gi|23502079|ref|NP_698206.1| recombinase A [Brucella suis 1330]
IIBCLGFB_00719	1	393	+	elongation_factor_Tu	1-393/394	0/0	99.75	82.4	victors	NP_273197.1	Victors_15676067	gi|15676067|ref|NP_273197.1| elongation factor Tu [Neisseria meningitidis MC58]
IIBCLGFB_00752	46	988	+	hemoglobin-binding_protein	69-1010/1010	7/11	92.77	85.1	victors	NP_438821.1	Victors_16272604	gi|16272604|ref|NP_438821.1| hemoglobin-binding protein [Haemophilus influenzae Rd KW20]
IIBCLGFB_00807	1	432	+	trigger_factor	1-431/433	1/1	99.54	72.9	victors	YP_001054196.1	Victors_126208971	gi|126208971|ref|YP_001054196.1| trigger factor [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00808	1	193	+	ATP-dependent_Clp_protease_proteolytic_subunit	14-206/207	0/0	93.24	71.0	victors	NP_459444.1	Victors_16763829	gi|16763829|ref|NP_459444.1| ATP-dependent Clp protease proteolytic subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_00809	1	409	+	ATP-dependent_protease_ATP-binding_subunit_ClpX	4-405/419	4/7	95.94	62.6	victors	NP_846917.1	Victors_30264540	gi|30264540|ref|NP_846917.1| ATP-dependent protease ATP-binding subunit ClpX [Bacillus anthracis str. Ames]
IIBCLGFB_00858	1	415	+	diaminopimelate_decarboxylase	1-415/417	2/2	99.28	63.2	victors	YP_001218294.1	Victors_147674363	gi|147674363|ref|YP_001218294.1| diaminopimelate decarboxylase [Vibrio cholerae O395]
IIBCLGFB_00870	1	612	+	dihydroxy-acid_dehydratase	1-612/613	0/0	99.84	80.7	victors	YP_001218384.1	Victors_147675499	gi|147675499|ref|YP_001218384.1| dihydroxy-acid dehydratase [Vibrio cholerae O395]
IIBCLGFB_00872	4	1159	+	DNA_polymerase_III_subunit_alpha	14-1171/1171	2/2	98.72	71.2	victors	NP_670419.1	Victors_22126996	gi|22126996|ref|NP_670419.1| DNA polymerase III subunit alpha [Yersinia pestis KIM10+]
IIBCLGFB_00882	3	1297	+	phosphoribosylformylglycinamidine_synthase	1-1296/1297	1/1	99.85	69.6	victors	YP_001216350.1	Victors_147673351	gi|147673351|ref|YP_001216350.1| phosphoribosylformylglycinamidine synthase [Vibrio cholerae O395]
IIBCLGFB_00930	1	37	+	50S_ribosomal_protein_L36	1-37/37	0/0	100.0	81.1	victors	YP_513052.1	Victors_89255691	gi|89255691|ref|YP_513052.1| 50S ribosomal protein L36 [Francisella tularensis subsp. holarctica LVS]
IIBCLGFB_00935	1	128	+	50S_ribosomal_protein_L17	1-145/145	1/17	88.28	60.0	victors	YP_169400.1	Victors_56707504	gi|56707504|ref|YP_169400.1| 50S ribosomal protein L17 [Francisella tularensis subsp. tularensis SCHU S4]
IIBCLGFB_00945	1	295	+	UTP-glucose-1-phosphate_uridylyltransferase	1-295/295	0/0	100.0	83.4	victors	YP_001651654.1	Victors_165976061	gi|165976061|ref|YP_001651654.1| UTP-glucose-1-phosphate uridylyltransferase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00956	10	506	+	galactose/methyl_galaxtoside_transporter_ATP-binding_protein	3-499/499	0/0	99.6	89.7	victors	YP_001054108.1	Victors_126208883	gi|126208883|ref|YP_001054108.1| galactose/methyl galaxtoside transporter ATP-binding protein [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00978	1	205	+	thiol:disulfide_interchange_protein_DsbA	1-205/205	0/0	100.0	100.0	victors	YP_248552.1	Victors_68249440	gi|68249440|ref|YP_248552.1| thiol:disulfide interchange protein DsbA [Haemophilus influenzae 86-028NP]
IIBCLGFB_00991	1	856	+	chaperone_protein_ClpB	1-857/857	1/1	99.88	76.8	victors	NP_461591.1	Victors_16765976	gi|16765976|ref|NP_461591.1| chaperone protein ClpB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_00993	9	751	+	hypothetical_protein_SF4334	15-758/827	1/1	89.84	66.9	victors	NP_710044.3	Victors_344915383	gi|344915383|ref|NP_710044.3| hypothetical protein SF4334 [Shigella flexneri 2a str. 301]
IIBCLGFB_00996	7	610	+	GTP_binding_translational_elongation_factor_Tu_and_G_family_protein	2-604/605	1/1	99.67	69.0	victors	YP_513513.1	Victors_89256151	gi|89256151|ref|YP_513513.1| GTP binding translational elongation factor Tu and G family protein [Francisella tularensis subsp. holarctica LVS]
IIBCLGFB_00998	8	470	+	glutamine_synthetase	7-468/469	1/1	98.51	62.4	victors	NP_698011.1	Victors_23501884	gi|23501884|ref|NP_698011.1| glutamine synthetase [Brucella suis 1330]
IIBCLGFB_00999	8	345	+	dTDP-glucose-4,6-dehydratase	3-344/361	2/12	92.52	62.7	victors	NP_461042.1	Victors_16765427	gi|16765427|ref|NP_461042.1| dTDP-glucose-4,6-dehydratase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_01004	1	82	+	50S_ribosomal_protein_L27	1-82/84	0/0	97.62	70.7	victors	YP_514107.1	Victors_89256745	gi|89256745|ref|YP_514107.1| 50S ribosomal protein L27 [Francisella tularensis subsp. holarctica LVS]
IIBCLGFB_01009	1	236	+	two-component_response_regulator	1-238/238	1/2	99.16	78.2	victors	YP_001052761.1	Victors_126207536	gi|126207536|ref|YP_001052761.1| two-component response regulator [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_01012	4	532	+	bifunctional_phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase	5-529/529	1/4	99.24	77.5	victors	YP_002348608.1	Victors_218930733	gi|218930733|ref|YP_002348608.1| bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Yersinia pestis CO92]
IIBCLGFB_01013	1	429	+	phosphoribosylamine--glycine_ligase	1-429/429	0/0	100.0	76.9	victors	YP_001218530.1	Victors_147673352	gi|147673352|ref|YP_001218530.1| phosphoribosylamine--glycine ligase [Vibrio cholerae O395]
IIBCLGFB_01016	1	419	+	serine_hydroxymethyltransferase	20-434/435	2/4	95.4	72.6	victors	YP_002809666.1	Victors_227081115	gi|227081115|ref|YP_002809666.1| serine hydroxymethyltransferase [Vibrio cholerae M66-2]
IIBCLGFB_01056	1	508	+	catalase	1-508/508	0/0	100.0	100.0	victors	YP_248627.1	Victors_68249515	gi|68249515|ref|YP_248627.1| catalase [Haemophilus influenzae 86-028NP]
IIBCLGFB_01086	21	224	+	cAMP-activated_global_transcriptional_regulator	7-210/210	0/0	97.14	77.5	victors	NP_462369.1	Victors_16766754	gi|16766754|ref|NP_462369.1| cAMP-activated global transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_01098	6	148	+	3-dehydroquinate_dehydratase	3-145/154	0/0	92.86	68.5	victors	YP_001054549.1	Victors_126209324	gi|126209324|ref|YP_001054549.1| 3-dehydroquinate dehydratase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_01107	1	159	+	SsrA-binding_protein	1-160/160	1/1	99.38	78.1	victors	YP_002346144.1	Victors_218928269	gi|218928269|ref|YP_002346144.1| SsrA-binding protein [Yersinia pestis CO92]
IIBCLGFB_01114	3	464	+	isopropylmalate_isomerase_large_subunit	5-466/469	2/2	98.29	63.1	victors	NP_698884.1	Victors_23502757	gi|23502757|ref|NP_698884.1| isopropylmalate isomerase large subunit [Brucella suis 1330]
IIBCLGFB_01150	7	806	+	anaerobic_dimethyl_sulfoxide_reductase_subunit_A	3-805/805	3/3	99.38	85.6	victors	YP_001652701.1	Victors_165977108	gi|165977108|ref|YP_001652701.1| anaerobic dimethyl sulfoxide reductase subunit A [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_01196	1	643	+	cytochrome_c-type_biogenesis_protein_CcmF	1-644/651	1/1	98.77	63.0	victors	YP_001217579.1	Victors_147674378	gi|147674378|ref|YP_001217579.1| cytochrome c-type biogenesis protein CcmF [Vibrio cholerae O395]
IIBCLGFB_01256	1	314	+	thioredoxin_reductase	1-315/321	1/1	97.82	76.2	victors	NP_286765.1	Victors_15800751	gi|15800751|ref|NP_286765.1| thioredoxin reductase [Escherichia coli O157:H7 str. EDL933]
IIBCLGFB_01277	1	192	+	phosphoheptose_isomerase	1-192/192	0/0	100.0	76.0	victors	NP_454922.1	Victors_16759305	gi|16759305|ref|NP_454922.1| phosphoheptose isomerase [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
IIBCLGFB_01288	4	343	+	branched-chain_amino_acid_aminotransferase	5-340/340	2/6	98.53	71.3	victors	NP_345345.1	Victors_15900741	gi|15900741|ref|NP_345345.1| branched-chain amino acid aminotransferase [Streptococcus pneumoniae TIGR4]
IIBCLGFB_01292	1	287	+	succinyl-CoA_synthetase_subunit_alpha	1-287/290	0/0	98.97	70.7	victors	YP_169538.1	Victors_56707642	gi|56707642|ref|YP_169538.1| succinyl-CoA synthetase subunit alpha [Francisella tularensis subsp. tularensis SCHU S4]
IIBCLGFB_01298	1	711	+	phosphate_acetyltransferase	1-711/714	2/2	99.44	69.2	victors	YP_001216565.1	Victors_147675254	gi|147675254|ref|YP_001216565.1| phosphate acetyltransferase [Vibrio cholerae O395]
IIBCLGFB_01302	1	504	+	amidophosphoribosyltransferase	1-502/504	4/6	99.21	67.8	victors	YP_001216476.1	Victors_147673131	gi|147673131|ref|YP_001216476.1| amidophosphoribosyltransferase [Vibrio cholerae O395]
IIBCLGFB_01310	5	235	+	thiol-disulfide_interchange_protein	1-231/231	0/0	100.0	97.4	victors	NP_439371.2	Victors_30995432	gi|30995432|ref|NP_439371.2| thiol-disulfide interchange protein [Haemophilus influenzae Rd KW20]
IIBCLGFB_01315	1	331	+	fructose-1,6-bisphosphatase	4-334/336	0/0	98.51	70.1	victors	YP_001218038.1	Victors_147674062	gi|147674062|ref|YP_001218038.1| fructose-1,6-bisphosphatase [Vibrio cholerae O395]
IIBCLGFB_01347	4	163	+	phosphoribosylaminoimidazole_carboxylase_catalyic_subunit	2-161/163	0/0	98.16	65.0	victors	YP_169893.1	Victors_56707997	gi|56707997|ref|YP_169893.1| phosphoribosylaminoimidazole carboxylase catalyic subunit [Francisella tularensis subsp. tularensis SCHU S4]
IIBCLGFB_01379	1	431	+	3-phosphoshikimate_1-carboxyvinyltransferase	1-431/432	0/0	99.77	86.1	victors	YP_001651710.1	Victors_165976117	gi|165976117|ref|YP_001651710.1| 3-phosphoshikimate 1-carboxyvinyltransferase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_01383	1	569	+	acetolactate_synthase_3_catalytic_subunit	1-570/574	1/1	99.13	80.5	victors	YP_001651736.1	Victors_165976143	gi|165976143|ref|YP_001651736.1| acetolactate synthase 3 catalytic subunit [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_01492	12	352	+	phospho-2-dehydro-3-deoxyheptonate_aldolase	7-342/351	2/5	95.73	62.2	victors	YP_003083878.1	Victors_254805657	gi|254805657|ref|YP_003083878.1| phospho-2-dehydro-3-deoxyheptonate aldolase [Neisseria meningitidis alpha14]
IIBCLGFB_01543	1	117	+	50S_ribosomal_protein_L20	1-117/118	0/0	99.15	76.9	victors	YP_514059.1	Victors_89256697	gi|89256697|ref|YP_514059.1| 50S ribosomal protein L20 [Francisella tularensis subsp. holarctica LVS]
IIBCLGFB_01554	1	158	+	transcription_elongation_factor_GreA	1-158/158	0/0	100.0	77.8	victors	NP_668016.1	Victors_22124593	gi|22124593|ref|NP_668016.1| transcription elongation factor GreA [Yersinia pestis KIM10+]
IIBCLGFB_01575	1	292	+	5,10-methylenetetrahydrofolate_reductase	1-292/292	0/0	100.0	83.6	victors	YP_974991.1	Victors_121634746	gi|121634746|ref|YP_974991.1| 5,10-methylenetetrahydrofolate reductase [Neisseria meningitidis FAM18]
IIBCLGFB_01578	1	203	+	stringent_starvation_protein_A	1-203/212	0/0	95.75	62.6	victors	NP_462252.1	Victors_16766637	gi|16766637|ref|NP_462252.1| stringent starvation protein A [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_01597	19	257	+	fumarate/nitrate_reduction_transcriptional_regulator	15-253/255	0/0	93.73	78.7	victors	YP_001053361.1	Victors_126208136	gi|126208136|ref|YP_001053361.1| fumarate/nitrate reduction transcriptional regulator [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_01678	1	868	+	DNA_topoisomerase_I	1-871/871	4/5	99.54	70.1	victors	YP_001006438.1	Victors_123442459	gi|123442459|ref|YP_001006438.1| DNA topoisomerase I [Yersinia enterocolitica subsp. enterocolitica 8081]
IIBCLGFB_01680	1	474	+	NAD(P)_transhydrogenase_subunit_beta	1-480/482	2/6	98.34	85.0	victors	YP_001968692.1	Victors_190150167	gi|190150167|ref|YP_001968692.1| NAD(P) transhydrogenase subunit beta [Actinobacillus pleuropneumoniae serovar 7 str. AP76]
IIBCLGFB_01759	7	370	+	ATPase	2-365/365	0/0	99.73	73.4	victors	YP_001053699.1	Victors_126208474	gi|126208474|ref|YP_001053699.1| ATPase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_01761	1	286	+	tellurite_resistance_protein_TehB	1-286/286	0/0	100.0	100.0	victors	YP_249313.1	Victors_68250201	gi|68250201|ref|YP_249313.1| tellurite resistance protein TehB [Haemophilus influenzae 86-028NP]
IIBCLGFB_01776	1	555	+	putative_ABC_transporter_ATP-binding_protein	1-557/559	1/2	99.28	65.7	victors	YP_514548.1	Victors_89257186	gi|89257186|ref|YP_514548.1| putative ABC transporter ATP-binding protein [Francisella tularensis subsp. holarctica LVS]
IIBCLGFB_01791	1	378	+	chaperone_protein_DnaJ	1-379/380	3/7	98.68	80.9	victors	YP_001652944.1	Victors_165977351	gi|165977351|ref|YP_001652944.1| chaperone protein DnaJ [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_01792	1	635	+	molecular_chaperone_DnaK	1-633/633	1/2	100.0	93.1	victors	YP_001652945.1	Victors_165977352	gi|165977352|ref|YP_001652945.1| molecular chaperone DnaK [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_01796	3	565	+	dihydrolipoamide_acetyltransferase	110-635/635	5/37	82.83	67.7	victors	NP_232043.1	Victors_15642410	gi|15642410|ref|NP_232043.1| dihydrolipoamide acetyltransferase [Vibrio cholerae O1 biovar El Tor str. N16961]
IIBCLGFB_01797	1	474	+	dihydrolipoamide_dehydrogenase	1-474/474	0/0	100.0	96.0	victors	YP_001651781.1	Victors_165976188	gi|165976188|ref|YP_001651781.1| dihydrolipoamide dehydrogenase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_01803	6	91	+	translation_initiation_factor_Sui1	8-94/108	1/1	79.63	65.5	victors	NP_460665.1	Victors_16765050	gi|16765050|ref|NP_460665.1| translation initiation factor Sui1 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
