SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
IIBCLGFB_00354	1	2766	+	(hxuA)	1-2718/2718	34/74	99.52	90.0	VFDB	VFG000340(gb|NP_438433)	[HxuABC_(VF0269)]	 VFG000340(gb|NP_438433) (hxuA) heme-hemopexin utilization protein A, two-partner secretion (TPS) pathway TpsA protein, haem-haemopexin binding protein  [HxuABC (VF0269)]
IIBCLGFB_00370	1	1656	+	(lpt6)	1-1656/1656	0/0	100.0	96.74	VFDB	VFG013281(gb|NP_438444)	[LOS_(CVF494)]	 VFG013281(gb|NP_438444) (lpt6) phosphoethanolamine (Petn) transferase [LOS (CVF494)]
IIBCLGFB_00431	1	1296	+	(oapA)	1-1296/1296	0/0	100.0	98.77	VFDB	VFG000334(gb|NP_438494)	[OapA_(VF0040)]	 VFG000334(gb|NP_438494) (oapA) opacity associated protein (oapA) [OapA (VF0040)]
IIBCLGFB_00452	1	1017	+	(galE)	1-1017/1017	0/0	100.0	98.92	VFDB	VFG013286(gb|NP_438515)	[LOS_(CVF494)]	 VFG013286(gb|NP_438515) (galE) UDP-glucose 4-epimerase [LOS (CVF494)]
IIBCLGFB_00618	1	1041	+	(waaQ)	1-1041/1041	0/0	100.0	97.69	VFDB	VFG013299(gb|NP_438681)	[LOS_(CVF494)]	 VFG013299(gb|NP_438681) (waaQ) heptosyltransferase-like protein [LOS (CVF494)]
IIBCLGFB_00647	119	873	+	(lic2A)	155-909/909	0/0	83.06	97.88	VFDB	VFG000333(gb|NP_438708)	[LOS_(VF0044)]	 VFG000333(gb|NP_438708) (lic2A) glycosyltransferase [LOS (VF0044)]
IIBCLGFB_00719	1	1179	+	(tufA)	1-1179/1185	27/30	98.23	76.55	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
IIBCLGFB_00742	1	1284	+	(kdtA)	1-1284/1284	0/0	100.0	97.66	VFDB	VFG000330(gb|NP_438812)	[LOS_(VF0044)]	 VFG000330(gb|NP_438812) (kdtA) 3-deoxy-d-manno-octulosonic-acid transferase [LOS (VF0044)]
IIBCLGFB_00743	1	765	+	(lgtF)	1-765/765	0/0	100.0	98.17	VFDB	VFG013315(gb|NP_438813)	[LOS_(CVF494)]	 VFG013315(gb|NP_438813) (lgtF) beta-1,4-glucosyltransferase [LOS (CVF494)]
IIBCLGFB_00806	23	3141	+	(hgpC)	143-3255/3255	28/42	95.08	90.41	VFDB	VFG000347(gb|NP_438870)	[Hgp_(VF0270)]	 VFG000347(gb|NP_438870) (hgpC) hemoglobin-binding protein [Hgp (VF0270)]
IIBCLGFB_00866	1	714	+	(lpxH)	1-714/714	0/0	100.0	97.06	VFDB	VFG013321(gb|NP_438894)	[LOS_(CVF494)]	 VFG013321(gb|NP_438894) (lpxH) UDP-2,3-diacylglucosamine pyrophosphohydrolase [LOS (CVF494)]
IIBCLGFB_00873	1	1641	+	(yhxB/manB)	1-1641/1653	0/0	99.27	98.42	VFDB	VFG013327(gb|NP_438900)	[LOS_(CVF494)]	 VFG013327(gb|NP_438900) (yhxB/manB) phosphomannomutase [LOS (CVF494)]
IIBCLGFB_00896	1	837	+	(lpsA)	1-837/837	0/0	100.0	99.16	VFDB	VFG013342(gb|NP_438924)	[LOS_(CVF494)]	 VFG013342(gb|NP_438924) (lpsA) glycosyltransferase [LOS (CVF494)]
IIBCLGFB_00945	1	888	+	(galU)	1-888/888	0/0	100.0	99.55	VFDB	VFG013346(gb|NP_438972)	[LOS_(CVF494)]	 VFG013346(gb|NP_438972) (galU) glucosephosphate uridylyltransferase [LOS (CVF494)]
IIBCLGFB_01041	1	1026	+	(lpxD)	1-1026/1026	0/0	100.0	99.22	VFDB	VFG013374(gb|NP_439075)	[LOS_(CVF494)]	 VFG013374(gb|NP_439075) (lpxD) UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase [LOS (CVF494)]
IIBCLGFB_01120	1	2739	+	(tbpA)	1-2739/2739	11/14	99.74	96.5	VFDB	VFG000338(gb|NP_439157)	[Tbp_(VF0267)]	 VFG000338(gb|NP_439157) (tbpA) transferrin-binding protein 1 precursor [Tbp (VF0267)]
IIBCLGFB_01163	1	1173	+	(lpxB)	1-1173/1173	0/0	100.0	94.2	VFDB	VFG013384(gb|NP_439218)	[LOS_(CVF494)]	 VFG013384(gb|NP_439218) (lpxB) lipid-A-disaccharide synthase [LOS (CVF494)]
IIBCLGFB_01164	1	789	+	(lpxA)	1-789/789	0/0	100.0	96.32	VFDB	VFG013390(gb|NP_439219)	[LOS_(CVF494)]	 VFG013390(gb|NP_439219) (lpxA) UDP-N-acetylglucosamine acyltransferase [LOS (CVF494)]
IIBCLGFB_01208	1	1041	+	(rfaF)	1-1041/1041	8/10	99.52	91.97	VFDB	VFG013400(gb|NP_439262)	[LOS_(CVF494)]	 VFG013400(gb|NP_439262) (rfaF) ADP-heptose-LPS heptosyltransferase II [LOS (CVF494)]
IIBCLGFB_01214	1	927	+	(rfaD)	1-927/927	0/0	100.0	98.06	VFDB	VFG000332(gb|NP_439271)	[LOS_(VF0044)]	 VFG000332(gb|NP_439271) (rfaD) ADP-L-glycero-D-mannoheptose-6-epimerase [LOS (VF0044)]
IIBCLGFB_01242	1	918	+	(lpxC)	1-918/918	0/0	100.0	96.19	VFDB	VFG013412(gb|NP_439302)	[LOS_(CVF494)]	 VFG013412(gb|NP_439302) (lpxC) UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase [LOS (CVF494)]
IIBCLGFB_01261	1	1080	+	(ompP5)	1-1062/1062	19/30	99.44	90.24	VFDB	VFG000335(gb|NP_439322)	[P5_protein_(VF0041)]	 VFG000335(gb|NP_439322) (ompP5) outer membrane protein P5 (ompA), human factor H binding protein [P5 protein (VF0041)]
IIBCLGFB_01277	1	585	+	(gmhA/lpcA)	1-585/585	0/0	100.0	97.61	VFDB	VFG013418(gb|NP_439337)	[LOS_(CVF494)]	 VFG013418(gb|NP_439337) (gmhA/lpcA) phosphoheptose isomerase [LOS (CVF494)]
IIBCLGFB_01367	1	1953	+	(hmw1C)	1-1953/1953	0/0	100.0	96.11	VFDB	VFG001153(gb|AAA20529)	[HMW1/HMW2_(VF0038)]	 VFG001153(gb|AAA20529) (hmw1C) glycosyltransferase [HMW1/HMW2 (VF0038)]
IIBCLGFB_01369	1	1638	+	(hmw2B)	1-1638/1638	0/0	100.0	97.07	VFDB	VFG001155(gb|AAA20525)	[HMW1/HMW2_(VF0038)]	 VFG001155(gb|AAA20525) (hmw2B) two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HMW1/HMW2 (VF0038)]
IIBCLGFB_01389	1	972	+	(lgtA)	1-972/972	0/0	100.0	97.94	VFDB	VFG013471(gb|NP_439724)	[LOS_(CVF494)]	 VFG013471(gb|NP_439724) (lgtA) N-acetylglucosamine glycosyltransferase  [LOS (CVF494)]
IIBCLGFB_01482	1	855	+	(kdsA)	1-855/855	0/0	100.0	99.42	VFDB	VFG013465(gb|NP_439706)	[LOS_(CVF494)]	 VFG013465(gb|NP_439706) (kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LOS (CVF494)]
IIBCLGFB_01499	1	798	+	(licD)	1-798/798	0/0	100.0	94.11	VFDB	VFG000329(gb|NP_439689)	[LOS_(VF0044)]	 VFG000329(gb|NP_439689) (licD) phosphocholine transferase [LOS (VF0044)]
IIBCLGFB_01500	1	702	+	(licC)	1-702/702	0/0	100.0	95.87	VFDB	VFG000328(gb|NP_439688)	[LOS_(VF0044)]	 VFG000328(gb|NP_439688) (licC) phosphocholine cytidyltransferase [LOS (VF0044)]
IIBCLGFB_01501	1	879	+	(licB)	1-879/879	0/0	100.0	94.65	VFDB	VFG000327(gb|NP_439687)	[LOS_(VF0044)]	 VFG000327(gb|NP_439687) (licB) choline permease [LOS (VF0044)]
IIBCLGFB_01502	157	960	+	(licA)	1-804/804	0/0	100.0	99.13	VFDB	VFG000326(gb|NP_439686)	[LOS_(VF0044)]	 VFG000326(gb|NP_439686) (licA) choline kinase [LOS (VF0044)]
IIBCLGFB_01510	1	936	+	(htrB)	1-936/936	0/0	100.0	95.3	VFDB	VFG013436(gb|NP_439676)	[LOS_(CVF494)]	 VFG013436(gb|NP_439676) (htrB) lipid A biosynthesis lauroyl acyltransferase [LOS (CVF494)]
IIBCLGFB_01511	1	1431	+	(rfaE)	1-1431/1431	0/0	100.0	98.04	VFDB	VFG000331(gb|NP_439675)	[LOS_(VF0044)]	 VFG000331(gb|NP_439675) (rfaE) ADP-heptose synthase [LOS (VF0044)]
IIBCLGFB_01757	1	675	+	(neuA)	13-687/687	0/0	98.25	96.89	VFDB	VFG013424(gb|NP_439432)	[LOS_(CVF494)]	 VFG013424(gb|NP_439432) (neuA) acylneuraminate cytidylyltransferase [LOS (CVF494)]
IIBCLGFB_01842	1	1638	+	(hmw2B)	1-1638/1638	0/0	100.0	97.13	VFDB	VFG001155(gb|AAA20525)	[HMW1/HMW2_(VF0038)]	 VFG001155(gb|AAA20525) (hmw2B) two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HMW1/HMW2 (VF0038)]
IIBCLGFB_01843	1	1953	+	(hmw2C)	1-1953/1953	0/0	100.0	97.44	VFDB	VFG001156(gb|AAA20526)	[HMW1/HMW2_(VF0038)]	 VFG001156(gb|AAA20526) (hmw2C) glycosyltransferase [HMW1/HMW2 (VF0038)]
IIBCLGFB_01859	19	804	+	(lsgF)	1-786/786	0/0	100.0	97.96	VFDB	VFG013482(gb|NP_439837)	[LOS_(CVF494)]	 VFG013482(gb|NP_439837) (lsgF) glycosyltransferase [LOS (CVF494)]
IIBCLGFB_01860	1	885	+	(lsgE)	1-885/885	0/0	100.0	97.74	VFDB	VFG013487(gb|NP_439838)	[LOS_(CVF494)]	 VFG013487(gb|NP_439838) (lsgE) glycosyltransferase [LOS (CVF494)]
IIBCLGFB_01861	1	774	+	(lsgD)	1-774/774	0/0	100.0	95.74	VFDB	VFG013491(gb|NP_439839)	[LOS_(CVF494)]	 VFG013491(gb|NP_439839) (lsgD) glycosyltransferase [LOS (CVF494)]
IIBCLGFB_01862	1	1062	+	(lsgC)	1-1062/1062	0/0	100.0	97.65	VFDB	VFG013496(gb|NP_439840)	[LOS_(CVF494)]	 VFG013496(gb|NP_439840) (lsgC) glycosyltransferase [LOS (CVF494)]
IIBCLGFB_01863	1	915	+	(lsgB)	1-915/915	0/0	100.0	97.92	VFDB	VFG013500(gb|NP_439841)	[LOS_(CVF494)]	 VFG013500(gb|NP_439841) (lsgB) sialyltransferase [LOS (CVF494)]
IIBCLGFB_01864	1	1206	+	(lsgA)	1-1206/1206	0/0	100.0	97.84	VFDB	VFG013503(gb|NP_439842)	[LOS_(CVF494)]	 VFG013503(gb|NP_439842) (lsgA) lipopolysaccharide biosynthesis transporter [LOS (CVF494)]
IIBCLGFB_01884	1	1068	+	(wecA)	1-1068/1068	0/0	100.0	99.81	VFDB	VFG013508(gb|NP_439858)	[LOS_(CVF494)]	 VFG013508(gb|NP_439858) (wecA) undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase [LOS (CVF494)]
