SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PHAST_ID	DESCRIPTION
DJPMMEHC_00717	1	545	+	terminase	17-553/554	1/8	96.93	77.8	phast	YP_007002934.1	PHAST_418489081	PHAGE_Haemop_SuMu_NC_019455-gi|418489081|ref|YP_007002934.1| terminase [Haemophilus phage SuMu]
DJPMMEHC_00888	1	320	+	signal_recognition_particle_protein	1-320/321	0/0	99.69	84.4	phast	YP_009949256.1	PHAST_100057	PHAGE_Escher_500465_1_NC_049342-gi|100057|ref|YP_009949256.1| signal recognition particle protein [Escherichia phage 500465-1]
DJPMMEHC_00991	1	176	+	IS1016C2_transposase	42-217/217	0/0	81.11	72.2	phast	NP_274424.1	PHAST_15677271	PROPHAGE_Neisse_MC58-gi|15677271|ref|NP_274424.1| IS1016C2 transposase [Neisseria meningitidis MC58]
DJPMMEHC_00993	7	297	+	putative_dehydrogenase_YgbJ	6-296/300	0/0	97.0	68.7	phast	YP_009624867.1	PHAST_100020	PHAGE_Escher_RCS47_NC_042128-gi|100020|ref|YP_009624867.1| putative dehydrogenase YgbJ [Escherichia phage RCS47]
DJPMMEHC_01003	1	147	+	IS1016C2_transposase	42-188/217	0/0	67.74	67.3	phast	NP_274424.1	PHAST_15677271	PROPHAGE_Neisse_MC58-gi|15677271|ref|NP_274424.1| IS1016C2 transposase [Neisseria meningitidis MC58]
DJPMMEHC_01055	1	403	+	beta_ketoacyl_ACP_synthase_I	1-403/406	2/2	99.01	73.0	phast	YP_009949297.1	PHAST_100041	PHAGE_Escher_500465_2_NC_049343-gi|100041|ref|YP_009949297.1| beta-ketoacyl-ACP synthase I [Escherichia phage 500465-2]
DJPMMEHC_01160	1	623	+	ATP_dependent_metalloprotease	1-624/644	3/3	96.58	75.2	phast	NP_312084.1	PHAST_15833311	PROPHAGE_Escher_Sakai-gi|15833311|ref|NP_312084.1| ATP-dependent metalloprotease [Escherichia coli O157:H7 str. Sakai]
DJPMMEHC_01198	45	352	+	putative_methionine_sulfoxide_reductase	61-368/368	0/0	83.7	66.2	phast	NP_438113.1	PHAST_16271776	PHAGE_Temper_phiNIH1.1_NC_003157-gi|16271776|ref|NP_438113.1| putative methionine sulfoxide reductase [Temperate phage phiNIH1.1]
DJPMMEHC_01234	21	468	+	Ban	10-454/454	3/3	98.02	68.3	phast	YP_006543.1	PHAST_46401697	PHAGE_Entero_P1_NC_005856-gi|46401697|ref|YP_006543.1| Ban [Enterobacteria phage P1]
DJPMMEHC_01309	2	481	+	protease_TldD	3-480/481	1/2	99.38	66.9	phast	NP_312144.1	PHAST_15833371	PROPHAGE_Escher_Sakai-gi|15833371|ref|NP_312144.1| protease TldD [Escherichia coli O157:H7 str. Sakai]
DJPMMEHC_01315	3	756	+	diphosphate_reductase_subunit_alpha	4-757/757	0/0	99.6	76.5	phast	YP_009833388.1	PHAST_100009	PHAGE_Cronob_vB_CsaP_009_NC_048664-gi|100009|ref|YP_009833388.1| diphosphate reductase subunit alpha [Cronobacter phage vB_CsaP_009]
DJPMMEHC_01316	2	376	+	putative_NrdB	3-377/377	0/0	99.47	78.4	phast	YP_004958118.1	PHAST_371671580	PHAGE_Pseudo_OBP_NC_016571-gi|371671580|ref|YP_004958118.1| putative NrdB [Pseudomonas phage OBP]
DJPMMEHC_01505	25	127	+	Vs.6_conserved_hypothetical_protein	19-120/120	1/1	85.0	67.0	phast	YP_003858379.1	PHAST_304373634	PHAGE_Entero_RB16_NC_014467-gi|304373634|ref|YP_003858379.1| Vs.6 conserved hypothetical protein [Enterobacteria phage RB16]
