SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
OMBLIMKG_01093	1	1047	+	(ompP5)	1-1062/1062	9/15	98.59	93.78	VFDB	VFG000335(gb|NP_439322)	[P5_protein_(VF0041)]	 VFG000335(gb|NP_439322) (ompP5) outer membrane protein P5 (ompA), human factor H binding protein [P5 protein (VF0041)]
OMBLIMKG_01105	1	666	+	(hifD)	1-651/651	1/15	100.0	92.34	VFDB	VFG001147(gb|CAA83903)	[Haemagglutinating_pili_(VF0036)]	 VFG001147(gb|CAA83903) (hifD) minor structural protein [Haemagglutinating pili (VF0036)]
OMBLIMKG_01106	1	2514	+	(hifC)	1-2514/2514	0/0	100.0	96.54	VFDB	VFG001146(gb|CAA83902)	[Haemagglutinating_pili_(VF0036)]	 VFG001146(gb|CAA83902) (hifC) membrane anchor [Haemagglutinating pili (VF0036)]
OMBLIMKG_01107	1	699	+	(hifB)	13-711/711	0/0	98.31	96.28	VFDB	VFG001145(gb|CAA83901)	[Haemagglutinating_pili_(VF0036)]	 VFG001145(gb|CAA83901) (hifB) periplasmic chaperone [Haemagglutinating pili (VF0036)]
OMBLIMKG_01108	1	636	+	(hifA)	1-642/642	16/22	97.82	78.31	VFDB	VFG001144(gb|CAA83905)	[Haemagglutinating_pili_(VF0036)]	 VFG001144(gb|CAA83905) (hifA) Haemagglutinating pilus pilin [Haemagglutinating pili (VF0036)]
OMBLIMKG_01117	1	918	+	(lpxC)	1-918/918	0/0	100.0	99.24	VFDB	VFG013412(gb|NP_439302)	[LOS_(CVF494)]	 VFG013412(gb|NP_439302) (lpxC) UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase [LOS (CVF494)]
OMBLIMKG_01145	1	927	+	(rfaD)	1-927/927	0/0	100.0	97.95	VFDB	VFG000332(gb|NP_439271)	[LOS_(VF0044)]	 VFG000332(gb|NP_439271) (rfaD) ADP-L-glycero-D-mannoheptose-6-epimerase [LOS (VF0044)]
OMBLIMKG_01146	1	1041	+	(rfaF)	1-1041/1041	0/0	100.0	97.21	VFDB	VFG013400(gb|NP_439262)	[LOS_(CVF494)]	 VFG013400(gb|NP_439262) (rfaF) ADP-heptose-LPS heptosyltransferase II [LOS (CVF494)]
OMBLIMKG_01189	1	789	+	(lpxA)	1-789/789	0/0	100.0	98.99	VFDB	VFG013390(gb|NP_439219)	[LOS_(CVF494)]	 VFG013390(gb|NP_439219) (lpxA) UDP-N-acetylglucosamine acyltransferase [LOS (CVF494)]
OMBLIMKG_01190	1	1173	+	(lpxB)	1-1173/1173	0/0	100.0	99.06	VFDB	VFG013384(gb|NP_439218)	[LOS_(CVF494)]	 VFG013384(gb|NP_439218) (lpxB) lipid-A-disaccharide synthase [LOS (CVF494)]
OMBLIMKG_01234	1	2730	+	(tbpA)	1-2739/2739	7/15	99.56	97.7	VFDB	VFG000338(gb|NP_439157)	[Tbp_(VF0267)]	 VFG000338(gb|NP_439157) (tbpA) transferrin-binding protein 1 precursor [Tbp (VF0267)]
OMBLIMKG_01359	1	1026	+	(lpxD)	1-1026/1026	0/0	100.0	98.73	VFDB	VFG013374(gb|NP_439075)	[LOS_(CVF494)]	 VFG013374(gb|NP_439075) (lpxD) UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase [LOS (CVF494)]
OMBLIMKG_01454	1	888	+	(galU)	1-888/888	0/0	100.0	99.66	VFDB	VFG013346(gb|NP_438972)	[LOS_(CVF494)]	 VFG013346(gb|NP_438972) (galU) glucosephosphate uridylyltransferase [LOS (CVF494)]
OMBLIMKG_01522	1	1653	+	(yhxB/manB)	1-1653/1653	0/0	100.0	98.43	VFDB	VFG013327(gb|NP_438900)	[LOS_(CVF494)]	 VFG013327(gb|NP_438900) (yhxB/manB) phosphomannomutase [LOS (CVF494)]
OMBLIMKG_01529	1	714	+	(lpxH)	1-714/714	0/0	100.0	97.34	VFDB	VFG013321(gb|NP_438894)	[LOS_(CVF494)]	 VFG013321(gb|NP_438894) (lpxH) UDP-2,3-diacylglucosamine pyrophosphohydrolase [LOS (CVF494)]
OMBLIMKG_01594	1	765	+	(lgtF)	1-765/765	0/0	100.0	96.73	VFDB	VFG013315(gb|NP_438813)	[LOS_(CVF494)]	 VFG013315(gb|NP_438813) (lgtF) beta-1,4-glucosyltransferase [LOS (CVF494)]
OMBLIMKG_01595	1	1284	+	(kdtA)	1-1284/1284	0/0	100.0	97.27	VFDB	VFG000330(gb|NP_438812)	[LOS_(VF0044)]	 VFG000330(gb|NP_438812) (kdtA) 3-deoxy-d-manno-octulosonic-acid transferase [LOS (VF0044)]
OMBLIMKG_01619	1	1179	+	(tufA)	1-1179/1185	27/30	98.23	76.8	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
OMBLIMKG_01710	1	1179	+	(tufA)	1-1179/1185	27/30	98.23	76.63	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
OMBLIMKG_01738	109	867	+	(lic2A)	151-909/909	0/0	83.5	99.47	VFDB	VFG000333(gb|NP_438708)	[LOS_(VF0044)]	 VFG000333(gb|NP_438708) (lic2A) glycosyltransferase [LOS (VF0044)]
OMBLIMKG_01770	1	1041	+	(waaQ)	1-1041/1041	2/2	99.9	96.26	VFDB	VFG013299(gb|NP_438681)	[LOS_(CVF494)]	 VFG013299(gb|NP_438681) (waaQ) heptosyltransferase-like protein [LOS (CVF494)]
OMBLIMKG_01982	1	957	+	(msbB)	1-957/957	0/0	100.0	99.48	VFDB	VFG013254(gb|NP_438368)	[LOS_(CVF494)]	 VFG013254(gb|NP_438368) (msbB) lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase [LOS (CVF494)]
