# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EBNMPBKG_00007      K12297  549.43 1052.1         0 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]
  EBNMPBKG_00010      K00098  358.97   15.9   0.00039 L-idonate 5-dehydrogenase [EC:1.1.1.264]
  EBNMPBKG_00010      K00003  279.40   15.7   0.00039 homoserine dehydrogenase [EC:1.1.1.3]
  EBNMPBKG_00010      K00263  402.60   15.2   0.00067 leucine dehydrogenase [EC:1.4.1.9]
  EBNMPBKG_00010      K21331  656.77   14.9   0.00073 dTDP-alpha-D-glucose dehydrogenase [EC:1.1.1.-]
  EBNMPBKG_00010      K24866  133.00   14.7   0.00099 precorrin-2 dehydrogenase [EC:1.3.1.76]
  EBNMPBKG_00010      K14465  467.20   13.9    0.0014 succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]
  EBNMPBKG_00010      K00014  194.37   13.5    0.0025 shikimate dehydrogenase [EC:1.1.1.25]
  EBNMPBKG_00010      K08322  358.77   13.2    0.0029 L-gulonate 5-dehydrogenase [EC:1.1.1.380]
  EBNMPBKG_00010      K16182  251.30   13.2    0.0034 3-methylornithyl-N6-L-lysine dehydrogenase [EC:1.4.1.-]
  EBNMPBKG_00010      K02492   75.30   12.9    0.0031 glutamyl-tRNA reductase [EC:1.2.1.70]
  EBNMPBKG_00010      K00012  375.77   12.7    0.0032 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
  EBNMPBKG_00010      K00271  494.63   12.4    0.0052 valine dehydrogenase (NAD+) [EC:1.4.1.23]
  EBNMPBKG_00010      K00301  373.27   12.0    0.0058 sarcosine oxidase [EC:1.5.3.1]
  EBNMPBKG_00010      K03473  278.07   11.2     0.012 erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]
  EBNMPBKG_00010      K03499  130.60   11.1     0.016 trk system potassium uptake protein
  EBNMPBKG_00010      K00303  309.40   10.9     0.011 sarcosine oxidase, subunit beta [EC:1.5.3.1]
  EBNMPBKG_00010      K00121  639.20    8.9     0.057 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
  EBNMPBKG_00011      K09815  263.17  240.5   4.1e-72 zinc transport system substrate-binding protein
  EBNMPBKG_00011      K02077  253.57  142.7   1.8e-42 zinc/manganese transport system substrate-binding protein
  EBNMPBKG_00011      K09818  352.47  130.9   4.5e-39 manganese/iron transport system substrate-binding protein
  EBNMPBKG_00011      K11707  296.53  103.5   8.8e-31 manganese/zinc/iron transport system substrate-binding protein
  EBNMPBKG_00011      K19975  461.97   72.6   2.6e-21 manganese transport system substrate-binding protein
  EBNMPBKG_00011      K11604  467.77   71.5   5.7e-21 manganese/iron transport system substrate-binding protein
  EBNMPBKG_00011      K11601  441.00   63.1   1.8e-18 manganese transport system substrate-binding protein
  EBNMPBKG_00011      K19971  546.07   48.8   4.6e-14 manganese/zinc transport system substrate-binding protein
  EBNMPBKG_00011      K11704  594.60   42.0   5.3e-12 iron/zinc/manganese/copper transport system substrate-binding protein
  EBNMPBKG_00011      K06024   49.57   16.2   0.00042 segregation and condensation protein B
  EBNMPBKG_00011      K15727  277.80   10.1     0.027 membrane fusion protein, heavy metal efflux system
  EBNMPBKG_00011      K05567  125.10    5.9      0.87 multicomponent Na+:H+ antiporter subunit C
  EBNMPBKG_00011      K17553   39.97    4.6       2.7 protein phosphatase 1 regulatory subunit 11
  EBNMPBKG_00011      K14192  574.60    2.3       3.6 clumping factor B
  EBNMPBKG_00011      K15725  193.90    0.2        34 outer membrane protein, heavy metal efflux system
  EBNMPBKG_00012      K16785  119.00    8.0      0.11 energy-coupling factor transport system permease protein
  EBNMPBKG_00012      K11815  146.70    5.0       2.8 multidrug resistance protein EbrB
  EBNMPBKG_00012      K23424  191.40    4.4      0.88 protein O-mannosyl-transferase [EC:2.4.1.-]
  EBNMPBKG_00012      K03614  282.70    2.6         4 Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.2.1.2]
  EBNMPBKG_00012      K00981   53.67    2.4       6.7 phosphatidate cytidylyltransferase [EC:2.7.7.41]
  EBNMPBKG_00012      K18967  241.73    1.7        10 diguanylate cyclase [EC:2.7.7.65]
  EBNMPBKG_00012      K21019  263.53    0.1        32 diguanylate cyclase [EC:2.7.7.65]
* EBNMPBKG_00013      K02558  390.67  736.0  2.3e-222 UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
  EBNMPBKG_00013      K01924  369.70  344.6  9.2e-104 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
  EBNMPBKG_00013      K01925  357.30  109.6   1.6e-32 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
  EBNMPBKG_00013      K01929  324.07   91.5   4.4e-27 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
  EBNMPBKG_00013      K23169  381.80   88.9   3.4e-26 UDP-N-acetylmuramoyl-L-alanine---L-glutamate ligase [EC:6.3.2.53]
  EBNMPBKG_00013      K15792  772.50   77.8   4.5e-23 MurE/MurF fusion protein [EC:6.3.2.13 6.3.2.10]
  EBNMPBKG_00013      K01928  399.10   76.9   1.2e-22 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
  EBNMPBKG_00013      K11754  364.70   60.7   1.1e-17 dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
  EBNMPBKG_00013      K03802  316.20   50.5     1e-14 cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
  EBNMPBKG_00013      K05362  546.73   47.9   8.1e-14 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7]
  EBNMPBKG_00013      K23393  167.67   39.4   2.7e-11 lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]
  EBNMPBKG_00013      K21612  214.80   31.7   5.8e-09 coenzyme F430 synthetase [EC:6.4.1.9]
  EBNMPBKG_00013      K01798  653.27   27.2   7.5e-08 Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]
  EBNMPBKG_00013      K01921  187.20   24.4     8e-07 D-alanine-D-alanine ligase [EC:6.3.2.4]
  EBNMPBKG_00013      K20457  450.87   15.1    0.0007 dihydrofolate synthase [EC:6.3.2.12]
  EBNMPBKG_00014      K01760  482.23  477.2  4.6e-144 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
  EBNMPBKG_00014      K01761  492.80  292.4   3.6e-88 methionine-gamma-lyase [EC:4.4.1.11]
  EBNMPBKG_00014      K17217  607.17  270.9   1.3e-81 cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]
  EBNMPBKG_00014      K01739  448.50  264.7   1.6e-79 cystathionine gamma-synthase [EC:2.5.1.48]
  EBNMPBKG_00014      K01758  599.50  261.0     2e-78 cystathionine gamma-lyase [EC:4.4.1.1]
  EBNMPBKG_00014      K10764  531.77  225.1   9.6e-68 O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
  EBNMPBKG_00014      K17069  726.10  159.5   1.1e-47 O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]
  EBNMPBKG_00014      K21173  656.47  149.2   1.8e-44 methionine gamma-lyase
  EBNMPBKG_00014      K01740  411.20  119.5   1.3e-35 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
  EBNMPBKG_00014      K23671       -   35.5   4.1e-10 L-2-amino-4-chloropent-4-enoate dechlorinase/desaturase [EC:4.5.1.-]
  EBNMPBKG_00014      K11325  333.67   20.2     2e-05 L-cysteine/cystine lyase
  EBNMPBKG_00014      K21784  893.43   16.9   0.00015 4-hydroxy-2,2'-bipyrrole-5-methanol synthase
  EBNMPBKG_00014      K14287  443.20   16.4   0.00029 methionine transaminase [EC:2.6.1.88]
  EBNMPBKG_00014      K01766  555.73   12.8    0.0038 cysteine sulfinate desulfinase [EC:4.4.1.-]
  EBNMPBKG_00014      K10907  509.37   10.8     0.013 aminotransferase [EC:2.6.1.-]
  EBNMPBKG_00014      K19793  458.00   10.7     0.016 (5-formylfuran-3-yl)methyl phosphate transaminase [EC:2.6.1.108]
  EBNMPBKG_00014      K02674   93.30   10.1     0.016 type IV pilus assembly protein PilY1
* EBNMPBKG_00015      K00995  113.83  150.0   1.2e-44 CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
  EBNMPBKG_00015      K08744  161.00  140.9     5e-42 cardiolipin synthase (CMP-forming) [EC:2.7.8.41]
  EBNMPBKG_00015      K17884  166.53   66.9   2.2e-19 archaetidylinositol phosphate synthase [EC:2.7.8.39]
  EBNMPBKG_00015      K00999   91.33   45.9   2.9e-13 CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]
  EBNMPBKG_00015      K07291  253.43   41.2   1.4e-11 CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.8.34]
  EBNMPBKG_00015      K19665  189.60   40.2     3e-11 archaetidylserine synthase [EC:2.7.8.38]
  EBNMPBKG_00015      K23992  175.40   29.2   4.7e-08 1L-myo-inositol 1-phosphate cytidylyltransferase / CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.7.74 2.7.8.34]
  EBNMPBKG_00015      K17103  125.30   28.6   7.7e-08 CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
* EBNMPBKG_00019      K01507   19.27  147.7     5e-44 inorganic pyrophosphatase [EC:3.6.1.1]
* EBNMPBKG_00020      K06901   98.07  405.5    3e-122 adenine/guanine/hypoxanthine permease
  EBNMPBKG_00020      K03321  359.47   65.1   3.6e-19 sulfate permease, SulP family
  EBNMPBKG_00021      K02052  501.10  468.3  5.9e-141 putative spermidine/putrescine transport system ATP-binding protein
  EBNMPBKG_00021      K11072  498.73  442.3  2.6e-133 spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
  EBNMPBKG_00021      K02010  436.07  412.4  3.5e-124 iron(III) transport system ATP-binding protein [EC:7.2.2.7]
  EBNMPBKG_00021      K10112  531.00  405.7  3.1e-122 multiple sugar transport system ATP-binding protein
  EBNMPBKG_00021      K02062  410.03  384.3  9.6e-116 thiamine transport system ATP-binding protein [EC:7.6.2.15]
  EBNMPBKG_00021      K05816  518.60  379.4    2e-114 sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]
  EBNMPBKG_00021      K02045  443.83  373.5    2e-112 sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
  EBNMPBKG_00021      K17240  489.33  355.4  2.6e-107 inositol-phosphate transport system ATP-binding protein
  EBNMPBKG_00021      K11080  507.77  348.0    5e-105 mannopine transport system ATP-binding protein
  EBNMPBKG_00021      K10111  532.93  345.8  3.1e-104 multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
  EBNMPBKG_00021      K11076  483.03  342.0  3.1e-103 putrescine transport system ATP-binding protein [EC:7.6.2.16]
  EBNMPBKG_00021      K11084  428.67  338.0  5.2e-102 2-aminoethylphosphonate transport system ATP-binding protein
  EBNMPBKG_00021      K10191  553.63  313.1   2.4e-94 lactose/L-arabinose transport system ATP-binding protein
  EBNMPBKG_00021      K15497  378.10  310.8   1.3e-93 molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]
  EBNMPBKG_00021      K02017  359.33  294.6   1.6e-88 molybdate transport system ATP-binding protein [EC:7.3.2.5]
  EBNMPBKG_00021      K02049  347.90  284.8   1.4e-85 NitT/TauT family transport system ATP-binding protein
  EBNMPBKG_00021      K10199  482.83  279.3   3.9e-84 glucose/arabinose transport system ATP-binding protein
  EBNMPBKG_00021      K05847  355.60  276.6   4.6e-83 osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
  EBNMPBKG_00021      K10235  556.27  276.0   3.9e-83 alpha-glucoside transport system ATP-binding protein
  EBNMPBKG_00021      K10195  580.17  272.4   4.7e-82 oligogalacturonide transport system ATP-binding protein
  EBNMPBKG_00021      K02000  399.53  264.5   2.7e-79 glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
  EBNMPBKG_00021      K17314  477.43  263.6   1.8e-79 trehalose transport system ATP-binding protein
  EBNMPBKG_00021      K17324  369.60  258.7   6.4e-78 glycerol transport system ATP-binding protein
  EBNMPBKG_00021      K17325  441.30  257.2     2e-77 glycerol transport system ATP-binding protein
  EBNMPBKG_00021      K06857  262.53  252.0   8.9e-76 tungstate transport system ATP-binding protein [EC:7.3.2.6]
  EBNMPBKG_00021      K02065  294.23  249.2   7.2e-75 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
  EBNMPBKG_00021      K02028  376.20  248.2   1.6e-74 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K15555  313.20  247.5   1.9e-74 sulfonate transport system ATP-binding protein [EC:7.6.2.14]
  EBNMPBKG_00021      K02032  399.13  234.2   3.1e-70 peptide/nickel transport system ATP-binding protein
  EBNMPBKG_00021      K10831  339.77  230.6     2e-69 taurine transport system ATP-binding protein [EC:7.6.2.7]
  EBNMPBKG_00021      K02003  293.10  228.9   1.2e-68 putative ABC transport system ATP-binding protein
  EBNMPBKG_00021      K02071  329.70  224.1   3.3e-67 D-methionine transport system ATP-binding protein
  EBNMPBKG_00021      K01990  251.30  218.4   2.1e-65 ABC-2 type transport system ATP-binding protein
  EBNMPBKG_00021      K09810  332.03  216.7   4.1e-65 lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]
  EBNMPBKG_00021      K15578  427.17  215.4     1e-64 nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]
  EBNMPBKG_00021      K10823  490.13  209.3   1.2e-62 oligopeptide transport system ATP-binding protein
  EBNMPBKG_00021      K10038  395.67  206.4   3.1e-62 glutamine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K05779  229.87  201.9   8.4e-61 putative thiamine transport system ATP-binding protein
  EBNMPBKG_00021      K16786  346.13  201.4   2.3e-60 energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]
  EBNMPBKG_00021      K02006  338.27  200.4   5.2e-60 cobalt/nickel transport system ATP-binding protein
  EBNMPBKG_00021      K09812  292.07  196.5   7.6e-59 cell division transport system ATP-binding protein
  EBNMPBKG_00021      K10010  381.80  195.9   6.1e-59 L-cystine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K01552  410.27  195.4   1.7e-58 energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]
  EBNMPBKG_00021      K16960  398.73  194.4   1.7e-58 L-cystine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K02013  257.90  194.2     3e-58 iron complex transport system ATP-binding protein [EC:7.2.2.-]
  EBNMPBKG_00021      K23060  409.47  193.9   2.1e-58 arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K02041  271.80  192.8   1.1e-57 phosphonate transport system ATP-binding protein [EC:7.3.2.2]
  EBNMPBKG_00021      K02068  246.37  191.7   2.1e-57 UDP-glucose/iron transport system ATP-binding protein
  EBNMPBKG_00021      K24040  612.13  187.1   3.7e-56 energy-coupling factor transport system permease/ATP-binding protein [EC:7.-.-.-]
  EBNMPBKG_00021      K02031  395.20  186.1   1.2e-55 peptide/nickel transport system ATP-binding protein
  EBNMPBKG_00021      K09972  441.03  186.0   5.4e-56 general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K15579  423.83  185.3   1.1e-55 nitrate/nitrite transport system ATP-binding protein
  EBNMPBKG_00021      K10041  406.50  184.3   1.8e-55 aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K10824  305.80  184.3   2.7e-55 nickel transport system ATP-binding protein [EC:7.2.2.11]
  EBNMPBKG_00021      K16787  343.57  184.1   3.7e-55 energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]
  EBNMPBKG_00021      K16963  393.27  182.3   8.1e-55 putative S-methylcysteine transport system ATP-binding protein
  EBNMPBKG_00021      K15600  258.30  180.4   3.3e-54 putative hydroxymethylpyrimidine transport system ATP-binding protein
  EBNMPBKG_00021      K02074  282.47  180.0     7e-54 zinc/manganese transport system ATP-binding protein
  EBNMPBKG_00021      K01995  314.03  178.2   2.7e-53 branched-chain amino acid transport system ATP-binding protein
  EBNMPBKG_00021      K09814  291.60  177.3   2.6e-53 hemin transport system ATP-binding protein [EC:7.6.2.-]
  EBNMPBKG_00021      K10004  408.20  174.8   1.5e-52 glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K16784  271.17  174.0   3.8e-52 biotin transport system ATP-binding protein [EC:7.6.2.-]
  EBNMPBKG_00021      K02056  507.23  173.9   4.8e-52 simple sugar transport system ATP-binding protein [EC:7.5.2.-]
  EBNMPBKG_00021      K10000  348.87  172.9   6.5e-52 arginine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K10829  364.03  172.9   7.8e-52 ferric hydroxamate transport system ATP-binding protein [EC:7.2.2.16]
  EBNMPBKG_00021      K10441  709.70  172.5   1.3e-51 ribose transport system ATP-binding protein [EC:7.5.2.7]
  EBNMPBKG_00021      K05685  537.13  172.4   1.3e-51 macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]
  EBNMPBKG_00021      K01996  320.93  172.1   2.3e-51 branched-chain amino acid transport system ATP-binding protein
  EBNMPBKG_00021      K10021  430.80  172.0     1e-51 octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K13896  797.47  171.6   2.4e-51 microcin C transport system ATP-binding protein
  EBNMPBKG_00021      K10008  419.40  171.5   1.5e-51 glutamate transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K06147  622.70  171.3   3.3e-51 ATP-binding cassette, subfamily B, bacterial
  EBNMPBKG_00021      K06861  278.37  170.1   8.5e-51 lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
  EBNMPBKG_00021      K09817  267.07  169.1   1.3e-50 zinc transport system ATP-binding protein [EC:7.2.2.20]
  EBNMPBKG_00021      K19340  298.10  168.9   1.4e-50 Cu-processing system ATP-binding protein
  EBNMPBKG_00021      K06148  581.00  168.3   2.4e-50 ATP-binding cassette, subfamily C, bacterial
  EBNMPBKG_00021      K11635  382.43  167.7   2.6e-50 putative ABC transport system ATP-binding protein
  EBNMPBKG_00021      K02036  255.50  167.5   3.5e-50 phosphate transport system ATP-binding protein [EC:7.3.2.1]
  EBNMPBKG_00021      K09695  345.43  167.3   4.2e-50 lipooligosaccharide transport system ATP-binding protein
  EBNMPBKG_00021      K16920  345.40  166.6   5.2e-50 acetoin utilization transport system ATP-binding protein
  EBNMPBKG_00021      K09697  279.93  166.4   6.2e-50 sodium transport system ATP-binding protein [EC:7.2.2.4]
  EBNMPBKG_00021      K23184  357.90  165.6   9.9e-50 ferric citrate transport system ATP-binding protein [EC:7.2.2.18]
  EBNMPBKG_00021      K11952 1189.93  164.9   2.5e-49 bicarbonate transport system ATP-binding protein [EC:7.3.2.-]
  EBNMPBKG_00021      K12372  454.97  164.1   4.6e-49 dipeptide transport system ATP-binding protein
  EBNMPBKG_00021      K10025  455.37  163.9   3.4e-49 arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K23064  411.13  163.3   4.3e-49 hydroxyproline transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K23058  443.10  162.0   1.3e-48 putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K11050  352.17  161.6   2.1e-48 multidrug/hemolysin transport system ATP-binding protein
  EBNMPBKG_00021      K17076  375.67  161.4   1.9e-48 putative lysine transport system ATP-binding protein
  EBNMPBKG_00021      K17063  443.53  161.4   2.2e-48 arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K11953  527.57  160.6   3.7e-48 bicarbonate transport system ATP-binding protein [EC:7.3.2.-]
  EBNMPBKG_00021      K09820  328.13  156.9     5e-47 manganese/iron transport system ATP-binding protein
  EBNMPBKG_00021      K13926  850.70  156.3   7.1e-47 ribosome-dependent ATPase
  EBNMPBKG_00021      K19230  330.53  155.3   1.6e-46 cationic peptide transport system ATP-binding protein
  EBNMPBKG_00021      K13892  956.43  155.1   2.2e-46 glutathione transport system ATP-binding protein
  EBNMPBKG_00021      K11631  409.53  155.0     2e-46 bacitracin transport system ATP-binding protein
  EBNMPBKG_00021      K20490  294.70  153.9   3.7e-46 lantibiotic transport system ATP-binding protein
  EBNMPBKG_00021      K10017  469.17  152.8     8e-46 histidine transport system ATP-binding protein [EC:7.4.2.1]
  EBNMPBKG_00021      K19309  421.43  152.7   1.3e-45 bacitracin transport system ATP-binding protein
  EBNMPBKG_00021      K19079  442.77  151.9   1.6e-45 cationic antimicrobial peptide transport system ATP-binding protein
  EBNMPBKG_00021      K20459  368.60  151.3   3.5e-45 lantibiotic transport system ATP-binding protein
  EBNMPBKG_00021      K10820  639.67  151.2   3.2e-45 galactofuranose transport system ATP-binding protein [EC:7.5.2.9]
  EBNMPBKG_00021      K10545  327.20  151.1   3.3e-45 D-xylose transport system ATP-binding protein [EC:7.5.2.10]
  EBNMPBKG_00021      K11963  283.10  150.5   3.6e-45 urea transport system ATP-binding protein
  EBNMPBKG_00021      K02193  194.90  149.7   1.1e-44 heme exporter protein A [EC:7.6.2.5]
  EBNMPBKG_00021      K02021  513.30  149.1   1.5e-44 putative ABC transport system ATP-binding protein
  EBNMPBKG_00021      K24949  365.97  148.5   1.5e-44 antimicrobial peptide resistance transport system ATP-binding protein [EC:7.6.2.-]
  EBNMPBKG_00021      K23537  585.10  148.5   2.1e-44 general nucleoside transport system ATP-binding protein
  EBNMPBKG_00021      K11085  724.80  146.6   5.4e-44 ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]
