SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
BHKEBAIG_01221	1	1077	+	(bexC)	58-1134/1134	0/0	94.97	100.0	VFDB	VFG000698(gb|AAP42190)	[Capsule_(VF0043)]	 VFG000698(gb|AAP42190) (bexC) capsular polysaccharide export protein BexC [Capsule (VF0043)]
BHKEBAIG_01222	1	798	+	(bexB)	1-798/798	0/0	100.0	99.88	VFDB	VFG000697(gb|AAP42189)	[Capsule_(VF0043)]	 VFG000697(gb|AAP42189) (bexB) capsular polysaccharide export ABC transporter transmembrane protein BexB [Capsule (VF0043)]
BHKEBAIG_01223	1	654	+	(bexA)	1-654/654	0/0	100.0	100.0	VFDB	VFG000696(gb|AAP42188)	[Capsule_(VF0043)]	 VFG000696(gb|AAP42188) (bexA) ATP-dependent polysaccharide export protein BexA [Capsule (VF0043)]
BHKEBAIG_01227	1	1227	+	(hscB)	19-1245/1245	0/0	98.55	98.45	VFDB	VFG000705(gb|AAP42197)	[Capsule_(VF0043)]	 VFG000705(gb|AAP42197) (hscB) capsular polysaccharide export protein HscB [Capsule (VF0043)]
BHKEBAIG_01228	256	2043	+	(hscA)	1-1788/1788	0/0	100.0	95.08	VFDB	VFG000704(gb|AAP42196)	[Capsule_(VF0043)]	 VFG000704(gb|AAP42196) (hscA) capsular polysaccharide export protein HscA [Capsule (VF0043)]
BHKEBAIG_01229	1	1793	+	(bsc4)	1-1792/1824	1/1	98.25	99.16	VFDB	VFG000703(gb|AAP42195)	[Capsule_(VF0043)]	 VFG000703(gb|AAP42195) (bsc4) polysaccharide biosynthesis protein Bsc4 [Capsule (VF0043)]
BHKEBAIG_01230	1	3648	+	(bsc3)	1-3648/3648	0/0	100.0	99.86	VFDB	VFG000702(gb|AAP42194)	[Capsule_(VF0043)]	 VFG000702(gb|AAP42194) (bsc3) polysaccharide biosynthesis protein Bsc3 [Capsule (VF0043)]
BHKEBAIG_01231	1	1116	+	(bsc2)	1-1116/1116	0/0	100.0	100.0	VFDB	VFG000701(gb|AAP42193)	[Capsule_(VF0043)]	 VFG000701(gb|AAP42193) (bsc2) polysaccharide biosynthesis protein Bsc2 [Capsule (VF0043)]
BHKEBAIG_01232	1	1425	+	(bsc1)	1-1425/1425	2/2	99.93	99.79	VFDB	VFG000700(gb|AAP42192)	[Capsule_(VF0043)]	 VFG000700(gb|AAP42192) (bsc1) bifunctional; ribulose 5-phosphate reductase; CDP-ribitol pyrophosphorylase [Capsule (VF0043)]
BHKEBAIG_01233	1	1185	+	(bexD)	1-1185/1185	0/0	100.0	100.0	VFDB	VFG000699(gb|AAP42191)	[Capsule_(VF0043)]	 VFG000699(gb|AAP42191) (bexD) capsular polysaccharide export protein BexD [Capsule (VF0043)]
BHKEBAIG_01234	1	1077	+	(bexC)	58-1134/1134	0/0	94.97	100.0	VFDB	VFG000698(gb|AAP42190)	[Capsule_(VF0043)]	 VFG000698(gb|AAP42190) (bexC) capsular polysaccharide export protein BexC [Capsule (VF0043)]
BHKEBAIG_01235	1	798	+	(bexB)	1-798/798	0/0	100.0	99.88	VFDB	VFG000697(gb|AAP42189)	[Capsule_(VF0043)]	 VFG000697(gb|AAP42189) (bexB) capsular polysaccharide export ABC transporter transmembrane protein BexB [Capsule (VF0043)]
BHKEBAIG_01266	1	1173	+	(lpxB)	1-1173/1173	0/0	100.0	98.3	VFDB	VFG013384(gb|NP_439218)	[LOS_(CVF494)]	 VFG013384(gb|NP_439218) (lpxB) lipid-A-disaccharide synthase [LOS (CVF494)]
BHKEBAIG_01267	1	789	+	(lpxA)	1-789/789	0/0	100.0	98.35	VFDB	VFG013390(gb|NP_439219)	[LOS_(CVF494)]	 VFG013390(gb|NP_439219) (lpxA) UDP-N-acetylglucosamine acyltransferase [LOS (CVF494)]
BHKEBAIG_01310	1	1041	+	(rfaF)	1-1041/1041	0/0	100.0	97.89	VFDB	VFG013400(gb|NP_439262)	[LOS_(CVF494)]	 VFG013400(gb|NP_439262) (rfaF) ADP-heptose-LPS heptosyltransferase II [LOS (CVF494)]
BHKEBAIG_01319	1	927	+	(rfaD)	1-927/927	0/0	100.0	98.06	VFDB	VFG000332(gb|NP_439271)	[LOS_(VF0044)]	 VFG000332(gb|NP_439271) (rfaD) ADP-L-glycero-D-mannoheptose-6-epimerase [LOS (VF0044)]
BHKEBAIG_01347	1	918	+	(lpxC)	1-918/918	0/0	100.0	99.45	VFDB	VFG013412(gb|NP_439302)	[LOS_(CVF494)]	 VFG013412(gb|NP_439302) (lpxC) UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase [LOS (CVF494)]
BHKEBAIG_01366	1	1062	+	(ompP5)	1-1062/1062	8/10	99.53	95.78	VFDB	VFG000335(gb|NP_439322)	[P5_protein_(VF0041)]	 VFG000335(gb|NP_439322) (ompP5) outer membrane protein P5 (ompA), human factor H binding protein [P5 protein (VF0041)]
BHKEBAIG_01382	1	585	+	(gmhA/lpcA)	1-585/585	0/0	100.0	97.27	VFDB	VFG013418(gb|NP_439337)	[LOS_(CVF494)]	 VFG013418(gb|NP_439337) (gmhA/lpcA) phosphoheptose isomerase [LOS (CVF494)]
BHKEBAIG_01478	1	675	+	(neuA)	13-687/687	0/0	98.25	96.3	VFDB	VFG013424(gb|NP_439432)	[LOS_(CVF494)]	 VFG013424(gb|NP_439432) (neuA) acylneuraminate cytidylyltransferase [LOS (CVF494)]
BHKEBAIG_01737	1	1431	+	(rfaE)	1-1431/1431	0/0	100.0	97.2	VFDB	VFG000331(gb|NP_439675)	[LOS_(VF0044)]	 VFG000331(gb|NP_439675) (rfaE) ADP-heptose synthase [LOS (VF0044)]
BHKEBAIG_01738	1	936	+	(htrB)	1-936/936	0/0	100.0	96.26	VFDB	VFG013436(gb|NP_439676)	[LOS_(CVF494)]	 VFG013436(gb|NP_439676) (htrB) lipid A biosynthesis lauroyl acyltransferase [LOS (CVF494)]
BHKEBAIG_01746	1	804	+	(licA)	1-804/804	0/0	100.0	99.13	VFDB	VFG000326(gb|NP_439686)	[LOS_(VF0044)]	 VFG000326(gb|NP_439686) (licA) choline kinase [LOS (VF0044)]
BHKEBAIG_01747	1	879	+	(licB)	1-879/879	0/0	100.0	99.32	VFDB	VFG000327(gb|NP_439687)	[LOS_(VF0044)]	 VFG000327(gb|NP_439687) (licB) choline permease [LOS (VF0044)]
BHKEBAIG_01748	1	702	+	(licC)	1-702/702	0/0	100.0	96.3	VFDB	VFG000328(gb|NP_439688)	[LOS_(VF0044)]	 VFG000328(gb|NP_439688) (licC) phosphocholine cytidyltransferase [LOS (VF0044)]
BHKEBAIG_01749	1	807	+	(licD)	1-798/798	6/15	99.62	89.51	VFDB	VFG000329(gb|NP_439689)	[LOS_(VF0044)]	 VFG000329(gb|NP_439689) (licD) phosphocholine transferase [LOS (VF0044)]
BHKEBAIG_01766	1	855	+	(kdsA)	1-855/855	0/0	100.0	98.95	VFDB	VFG013465(gb|NP_439706)	[LOS_(CVF494)]	 VFG013465(gb|NP_439706) (kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LOS (CVF494)]
BHKEBAIG_01928	19	804	+	(lsgF)	1-786/786	0/0	100.0	98.35	VFDB	VFG013482(gb|NP_439837)	[LOS_(CVF494)]	 VFG013482(gb|NP_439837) (lsgF) glycosyltransferase [LOS (CVF494)]
BHKEBAIG_01929	1	885	+	(lsgE)	1-885/885	0/0	100.0	97.06	VFDB	VFG013487(gb|NP_439838)	[LOS_(CVF494)]	 VFG013487(gb|NP_439838) (lsgE) glycosyltransferase [LOS (CVF494)]
BHKEBAIG_01930	1	774	+	(lsgD)	1-774/774	0/0	100.0	96.25	VFDB	VFG013491(gb|NP_439839)	[LOS_(CVF494)]	 VFG013491(gb|NP_439839) (lsgD) glycosyltransferase [LOS (CVF494)]
BHKEBAIG_01931	1	1062	+	(lsgC)	1-1062/1062	0/0	100.0	98.31	VFDB	VFG013496(gb|NP_439840)	[LOS_(CVF494)]	 VFG013496(gb|NP_439840) (lsgC) glycosyltransferase [LOS (CVF494)]
BHKEBAIG_01932	1	915	+	(lsgB)	1-915/915	0/0	100.0	97.92	VFDB	VFG013500(gb|NP_439841)	[LOS_(CVF494)]	 VFG013500(gb|NP_439841) (lsgB) sialyltransferase [LOS (CVF494)]
BHKEBAIG_01933	1	1206	+	(lsgA)	1-1206/1206	2/2	99.92	98.43	VFDB	VFG013503(gb|NP_439842)	[LOS_(CVF494)]	 VFG013503(gb|NP_439842) (lsgA) lipopolysaccharide biosynthesis transporter [LOS (CVF494)]
BHKEBAIG_01950	1	1068	+	(wecA)	1-1068/1068	0/0	100.0	98.22	VFDB	VFG013508(gb|NP_439858)	[LOS_(CVF494)]	 VFG013508(gb|NP_439858) (wecA) undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase [LOS (CVF494)]
