SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
HFACCJHN_00550	1	393	+	elongation_factor_Tu	1-393/394	0/0	99.75	82.4	victors	NP_273197.1	Victors_15676067	gi|15676067|ref|NP_273197.1| elongation factor Tu [Neisseria meningitidis MC58]
HFACCJHN_00558	1	189	+	RNA_polymerase_sigma_factor_RpoE	1-189/189	0/0	100.0	97.9	victors	YP_248295.1	Victors_68249183	gi|68249183|ref|YP_248295.1| RNA polymerase sigma factor RpoE [Haemophilus influenzae 86-028NP]
HFACCJHN_00578	1	409	+	ATP-dependent_protease_ATP-binding_subunit_ClpX	4-405/419	4/7	95.94	62.6	victors	NP_846917.1	Victors_30264540	gi|30264540|ref|NP_846917.1| ATP-dependent protease ATP-binding subunit ClpX [Bacillus anthracis str. Ames]
HFACCJHN_00579	1	193	+	ATP-dependent_Clp_protease_proteolytic_subunit	14-206/207	0/0	93.24	71.5	victors	NP_459444.1	Victors_16763829	gi|16763829|ref|NP_459444.1| ATP-dependent Clp protease proteolytic subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00580	1	432	+	trigger_factor	1-431/433	1/1	99.54	72.5	victors	YP_001054196.1	Victors_126208971	gi|126208971|ref|YP_001054196.1| trigger factor [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00622	25	956	+	hemoglobin-binding_protein	70-1010/1010	5/11	92.18	90.1	victors	NP_438821.1	Victors_16272604	gi|16272604|ref|NP_438821.1| hemoglobin-binding protein [Haemophilus influenzae Rd KW20]
HFACCJHN_00636	1	393	+	elongation_factor_Tu	1-393/394	0/0	99.75	82.4	victors	NP_273197.1	Victors_15676067	gi|15676067|ref|NP_273197.1| elongation factor Tu [Neisseria meningitidis MC58]
HFACCJHN_00651	1	330	+	asparagine_synthetase_AsnA	1-330/330	0/0	100.0	78.5	victors	NP_346397.1	Victors_15901793	gi|15901793|ref|NP_346397.1| asparagine synthetase AsnA [Streptococcus pneumoniae TIGR4]
HFACCJHN_00657	4	486	+	glucose-6-phosphate_1-dehydrogenase	6-489/501	1/1	96.41	67.4	victors	YP_001215182.1	Victors_147671692	gi|147671692|ref|YP_001215182.1| glucose-6-phosphate 1-dehydrogenase [Vibrio cholerae O395]
HFACCJHN_00665	1	270	+	dimethyladenosine_transferase	1-265/272	1/5	97.43	65.9	victors	YP_069175.1	Victors_51594984	gi|51594984|ref|YP_069175.1| dimethyladenosine transferase [Yersinia pseudotuberculosis IP 32953]
HFACCJHN_00677	5	572	+	urease_subunit_beta	4-569/569	3/6	99.12	62.1	victors	NP_206872.1	Victors_15644702	gi|15644702|ref|NP_206872.1| urease subunit beta [Helicobacter pylori 26695]
HFACCJHN_00680	5	201	+	urease_accessory_protein	2-198/199	0/0	98.99	73.6	victors	YP_002265701.1	Victors_208434035	gi|208434035|ref|YP_002265701.1| urease accessory protein [Helicobacter pylori G27]
HFACCJHN_00689	1	70	+	ferredoxin	1-70/70	0/0	100.0	98.6	victors	NP_438685.1	Victors_16272471	gi|16272471|ref|NP_438685.1| ferredoxin [Haemophilus influenzae Rd KW20]
HFACCJHN_00691	1	386	+	phosphoglycerate_kinase	1-387/387	1/1	99.74	72.6	victors	NP_249243.1	Victors_15595749	gi|15595749|ref|NP_249243.1| phosphoglycerate kinase [Pseudomonas aeruginosa PAO1]
HFACCJHN_00720	1	166	+	S-ribosylhomocysteinase	1-167/169	1/1	98.22	74.3	victors	YP_001053909.1	Victors_126208684	gi|126208684|ref|YP_001053909.1| S-ribosylhomocysteinase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00731	1	513	+	F0F1_ATP_synthase_subunit_alpha	1-513/513	0/0	100.0	89.1	victors	YP_001054337.1	Victors_126209112	gi|126209112|ref|YP_001054337.1| F0F1 ATP synthase subunit alpha [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00732	1	289	+	F0F1_ATP_synthase_subunit_gamma	1-288/288	1/1	100.0	73.0	victors	YP_001054336.1	Victors_126209111	gi|126209111|ref|YP_001054336.1| F0F1 ATP synthase subunit gamma [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00750	9	781	+	ATP-dependent_protease_LA	11-783/802	2/2	96.26	72.6	victors	YP_001651429.1	Victors_165975836	gi|165975836|ref|YP_001651429.1| ATP-dependent protease LA [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_00771	1	199	+	recombination_protein_RecR	21-219/221	0/0	90.05	84.9	victors	YP_001967868.1	Victors_190149343	gi|190149343|ref|YP_001967868.1| recombination protein RecR [Actinobacillus pleuropneumoniae serovar 7 str. AP76]
HFACCJHN_00784	1	90	+	DNA-binding_protein_HU	1-90/90	0/0	100.0	80.0	victors	YP_001052827.1	Victors_126207602	gi|126207602|ref|YP_001052827.1| DNA-binding protein HU [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00795	5	459	+	protease	2-452/453	2/4	99.56	78.5	victors	NP_461080.1	Victors_16765465	gi|16765465|ref|NP_461080.1| protease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00803	1	74	+	RNA-binding_protein_Hfq	1-74/87	0/0	85.06	93.2	victors	NP_230001.1	Victors_15640374	gi|15640374|ref|NP_230001.1| RNA-binding protein Hfq [Vibrio cholerae O1 biovar El Tor str. N16961]
HFACCJHN_00807	1	259	+	zinc_ABC_transporter_permease_ZnuB	1-259/261	0/0	99.23	60.6	victors	NP_460850.1	Victors_16765235	gi|16765235|ref|NP_460850.1| zinc ABC transporter permease ZnuB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00808	1	315	+	acetyl-CoA_carboxylase_carboxyltransferase_subunit_alpha	1-315/315	0/0	100.0	97.8	victors	NP_438568.1	Victors_16272355	gi|16272355|ref|NP_438568.1| acetyl-CoA carboxylase carboxyltransferase subunit alpha [Haemophilus influenzae Rd KW20]
HFACCJHN_00821	1	363	+	GTP-dependent_nucleic_acid-binding_protein_EngD	1-363/363	0/0	100.0	81.3	victors	YP_852334.1	Victors_117623421	gi|117623421|ref|YP_852334.1| GTP-dependent nucleic acid-binding protein EngD [Escherichia coli APEC O1]
HFACCJHN_00824	1	558	+	long-chain-fatty-acid--CoA_ligase	1-556/561	1/2	99.11	64.3	victors	NP_460774.1	Victors_16765159	gi|16765159|ref|NP_460774.1| long-chain-fatty-acid--CoA ligase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00923	23	293	+	periplasmic-binding_protein	52-322/322	0/0	84.16	74.9	victors	YP_001607037.1	Victors_162419227	gi|162419227|ref|YP_001607037.1| periplasmic-binding protein [Yersinia pestis Angola]
HFACCJHN_00924	10	284	+	ATP-binding_transport_protein	13-287/296	0/0	92.91	71.6	victors	NP_669212.1	Victors_22125789	gi|22125789|ref|NP_669212.1| ATP-binding transport protein [Yersinia pestis KIM10+]
HFACCJHN_00932	1	336	+	UDP-glucose_4-epimerase	1-334/336	1/2	99.4	63.4	victors	YP_001007253.1	Victors_123443279	gi|123443279|ref|YP_001007253.1| UDP-glucose 4-epimerase [Yersinia enterocolitica subsp. enterocolitica 8081]
HFACCJHN_00949	1	743	+	GDP/GTP_pyrophosphokinase	1-741/744	6/10	99.06	62.7	victors	YP_001605545.1	Victors_162418825	gi|162418825|ref|YP_001605545.1| GDP/GTP pyrophosphokinase [Yersinia pestis Angola]
HFACCJHN_00957	1	230	+	DNA_repair_protein_RecO	1-230/241	0/0	95.44	62.2	victors	YP_001217961.1	Victors_147673381	gi|147673381|ref|YP_001217961.1| DNA repair protein RecO [Vibrio cholerae O395]
HFACCJHN_00959	1	440	+	opacity_associated_protein	4-431/431	1/12	99.3	78.9	victors	NP_438494.1	Victors_16272282	gi|16272282|ref|NP_438494.1| opacity associated protein [Haemophilus influenzae Rd KW20]
HFACCJHN_00974	1	331	+	Holliday_junction_DNA_helicase_RuvB	1-333/348	1/2	95.11	72.7	victors	YP_169998.1	Victors_56708102	gi|56708102|ref|YP_169998.1| Holliday junction DNA helicase RuvB [Francisella tularensis subsp. tularensis SCHU S4]
HFACCJHN_00984	1	294	+	magnesium_and_cobalt_efflux_protein	1-292/297	2/2	98.32	72.8	victors	YP_001053081.1	Victors_126207856	gi|126207856|ref|YP_001053081.1| magnesium and cobalt efflux protein [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01041	1	940	+	DNA_excision_repair_protein_subunit_A	1-940/940	2/2	99.89	63.2	victors	YP_170265.1	Victors_56708369	gi|56708369|ref|YP_170265.1| DNA excision repair protein subunit A [Francisella tularensis subsp. tularensis SCHU S4]
HFACCJHN_01064	1	691	+	polynucleotide_phosphorylase/polyadenylase	1-691/715	0/0	96.64	90.4	victors	YP_001053284.1	Victors_126208059	gi|126208059|ref|YP_001053284.1| polynucleotide phosphorylase/polyadenylase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01071	1	523	+	GMP_synthase	1-523/523	0/0	100.0	91.4	victors	YP_001651599.1	Victors_165976006	gi|165976006|ref|YP_001651599.1| GMP synthase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01072	3	488	+	inosine_5'-monophosphate_dehydrogenase	2-487/488	0/0	99.59	81.7	victors	NP_708347.2	Victors_56480121	gi|56480121|ref|NP_708347.2| inosine 5'-monophosphate dehydrogenase [Shigella flexneri 2a str. 301]
HFACCJHN_01091	1	286	+	DNA_adenine_methylase	1-286/286	0/0	100.0	98.6	victors	YP_247926.1	Victors_68248814	gi|68248814|ref|YP_247926.1| DNA adenine methylase [Haemophilus influenzae 86-028NP]
HFACCJHN_01104	1	355	+	chorismate_synthase	1-350/361	1/5	96.95	74.9	victors	NP_456925.1	Victors_16761308	gi|16761308|ref|NP_456925.1| chorismate synthase [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
HFACCJHN_01110	1	146	+	ferric_uptake_regulation_protein	1-148/149	1/2	97.99	72.3	victors	YP_001652231.1	Victors_165976638	gi|165976638|ref|YP_001652231.1| ferric uptake regulation protein [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01111	4	447	+	glutamate_dehydrogenase	1-443/444	2/3	99.55	65.2	victors	YP_975591.1	Victors_121635346	gi|121635346|ref|YP_975591.1| glutamate dehydrogenase [Neisseria meningitidis FAM18]
HFACCJHN_01123	3	246	+	pyruvate_formate_lyase-activating_enzyme_1	22-265/265	0/0	92.08	73.0	victors	NP_459945.2	Victors_161353606	gi|161353606|ref|NP_459945.2| pyruvate formate lyase-activating enzyme 1 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_01131	10	411	+	Na(+)-translocating_NADH-quinone_reductase_subunit_F	7-408/408	0/0	98.53	81.6	victors	YP_001217803.1	Victors_147675137	gi|147675137|ref|YP_001217803.1| Na(+)-translocating NADH-quinone reductase subunit F [Vibrio cholerae O395]
HFACCJHN_01132	1	198	+	Na(+)-translocating_NADH-quinone_reductase_subunit_E	1-198/198	0/0	100.0	82.3	victors	YP_001217804.1	Victors_147674521	gi|147674521|ref|YP_001217804.1| Na(+)-translocating NADH-quinone reductase subunit E [Vibrio cholerae O395]
HFACCJHN_01135	1	411	+	Na(+)-translocating_NADH-quinone_reductase_subunit_B	1-403/403	7/12	99.5	62.0	victors	NP_251688.1	Victors_15598194	gi|15598194|ref|NP_251688.1| Na(+)-translocating NADH-quinone reductase subunit B [Pseudomonas aeruginosa PAO1]
HFACCJHN_01136	1	447	+	Na(+)-translocating_NADH-quinone_reductase_subunit_A	1-449/449	2/2	99.55	77.5	victors	YP_001052863.1	Victors_126207638	gi|126207638|ref|YP_001052863.1| Na(+)-translocating NADH-quinone reductase subunit A [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01142	1	56	+	50S_ribosomal_protein_L32	1-56/56	0/0	100.0	96.4	victors	YP_001054075.1	Victors_126208850	gi|126208850|ref|YP_001054075.1| 50S ribosomal protein L32 [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01145	1	241	+	3-ketoacyl-ACP_reductase	7-247/248	0/0	97.18	67.6	victors	YP_001217548.1	Victors_147675453	gi|147675453|ref|YP_001217548.1| 3-ketoacyl-ACP reductase [Vibrio cholerae O395]
HFACCJHN_01163	1	365	+	outer_membrane_protein_P2	1-365/365	7/22	96.99	68.9	victors	YP_247859.1	Victors_68248747	gi|68248747|ref|YP_247859.1| outer membrane protein P2 [Haemophilus influenzae 86-028NP]
HFACCJHN_01200	1	527	+	peptide_chain_release_factor_3	1-526/526	1/1	100.0	93.9	victors	YP_001651081.1	Victors_165975488	gi|165975488|ref|YP_001651081.1| peptide chain release factor 3 [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01210	1	444	+	argininosuccinate_synthase	1-443/443	1/1	100.0	92.3	victors	YP_001053131.1	Victors_126207906	gi|126207906|ref|YP_001053131.1| argininosuccinate synthase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01215	1	262	+	methionine_aminopeptidase	1-261/264	1/1	98.86	64.9	victors	NP_285862.1	Victors_15799850	gi|15799850|ref|NP_285862.1| methionine aminopeptidase [Escherichia coli O157:H7 str. EDL933]
HFACCJHN_01223	1	575	+	phosphoenolpyruvate-protein_phosphotransferase	1-575/575	0/0	100.0	99.5	victors	NP_439854.1	Victors_16273599	gi|16273599|ref|NP_439854.1| phosphoenolpyruvate-protein phosphotransferase [Haemophilus influenzae Rd KW20]
HFACCJHN_01232	1	756	+	5-methyltetrahydropteroyltriglutamate/homocysteine_S-methyltransferase	1-757/758	1/1	99.74	81.1	victors	NP_273982.1	Victors_15676837	gi|15676837|ref|NP_273982.1| 5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase [Neisseria meningitidis MC58]
HFACCJHN_01261	1	208	+	endonuclease_III	1-208/214	0/0	97.2	65.9	victors	YP_107724.1	Victors_53718738	gi|53718738|ref|YP_107724.1| endonuclease III [Burkholderia pseudomallei K96243]
HFACCJHN_01274	1	337	+	molybdenum_cofactor_biosynthesis_protein_A	1-340/340	1/3	99.12	67.6	victors	YP_001651701.1	Victors_165976108	gi|165976108|ref|YP_001651701.1| molybdenum cofactor biosynthesis protein A [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01282	15	670	+	carboxy-terminal_protease	10-664/670	3/5	97.46	67.9	victors	YP_001052833.1	Victors_126207608	gi|126207608|ref|YP_001052833.1| carboxy-terminal protease [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01287	4	934	+	2-oxoglutarate_dehydrogenase_E1_component	3-934/936	3/5	99.25	67.6	victors	YP_002810764.1	Victors_227082213	gi|227082213|ref|YP_002810764.1| 2-oxoglutarate dehydrogenase E1 component [Vibrio cholerae M66-2]
HFACCJHN_01307	2	106	+	translation_initiation_factor_Sui1	4-108/108	0/0	97.22	72.4	victors	NP_460665.1	Victors_16765050	gi|16765050|ref|NP_460665.1| translation initiation factor Sui1 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_01313	1	474	+	dihydrolipoamide_dehydrogenase	1-474/474	0/0	100.0	96.0	victors	YP_001651781.1	Victors_165976188	gi|165976188|ref|YP_001651781.1| dihydrolipoamide dehydrogenase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01314	1	632	+	dihydrolipoamide_acetyltransferase	7-635/635	7/29	97.01	66.7	victors	NP_232043.1	Victors_15642410	gi|15642410|ref|NP_232043.1| dihydrolipoamide acetyltransferase [Vibrio cholerae O1 biovar El Tor str. N16961]
HFACCJHN_01318	1	635	+	molecular_chaperone_DnaK	1-633/633	1/2	100.0	93.2	victors	YP_001652945.1	Victors_165977352	gi|165977352|ref|YP_001652945.1| molecular chaperone DnaK [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01319	1	379	+	chaperone_protein_DnaJ	1-379/380	3/6	98.95	80.9	victors	YP_001652944.1	Victors_165977351	gi|165977351|ref|YP_001652944.1| chaperone protein DnaJ [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_01337	1	555	+	putative_ABC_transporter_ATP-binding_protein	1-557/559	1/2	99.28	65.9	victors	YP_514548.1	Victors_89257186	gi|89257186|ref|YP_514548.1| putative ABC transporter ATP-binding protein [Francisella tularensis subsp. holarctica LVS]
HFACCJHN_01357	1	286	+	tellurite_resistance_protein_TehB	1-286/286	0/0	100.0	99.0	victors	YP_249313.1	Victors_68250201	gi|68250201|ref|YP_249313.1| tellurite resistance protein TehB [Haemophilus influenzae 86-028NP]
HFACCJHN_01359	7	370	+	ATPase	2-365/365	0/0	99.73	73.6	victors	YP_001053699.1	Victors_126208474	gi|126208474|ref|YP_001053699.1| ATPase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01496	1	117	+	50S_ribosomal_protein_L20	1-117/118	0/0	99.15	76.9	victors	YP_514059.1	Victors_89256697	gi|89256697|ref|YP_514059.1| 50S ribosomal protein L20 [Francisella tularensis subsp. holarctica LVS]
HFACCJHN_01506	1	158	+	transcription_elongation_factor_GreA	1-158/158	0/0	100.0	77.8	victors	NP_668016.1	Victors_22124593	gi|22124593|ref|NP_668016.1| transcription elongation factor GreA [Yersinia pestis KIM10+]
HFACCJHN_01530	1	292	+	5,10-methylenetetrahydrofolate_reductase	1-292/292	0/0	100.0	84.2	victors	YP_974991.1	Victors_121634746	gi|121634746|ref|YP_974991.1| 5,10-methylenetetrahydrofolate reductase [Neisseria meningitidis FAM18]
HFACCJHN_01533	1	203	+	stringent_starvation_protein_A	1-203/212	0/0	95.75	63.1	victors	NP_462252.1	Victors_16766637	gi|16766637|ref|NP_462252.1| stringent starvation protein A [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_01556	4	257	+	fumarate/nitrate_reduction_transcriptional_regulator	3-253/255	2/5	98.04	75.3	victors	YP_001053361.1	Victors_126208136	gi|126208136|ref|YP_001053361.1| fumarate/nitrate reduction transcriptional regulator [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_01559	2	338	+	dihydroorotate_dehydrogenase_2	3-336/336	3/5	99.11	60.9	victors	NP_460032.1	Victors_16764417	gi|16764417|ref|NP_460032.1| dihydroorotate dehydrogenase 2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_01600	1	868	+	DNA_topoisomerase_I	1-871/871	4/5	99.54	70.0	victors	YP_001006438.1	Victors_123442459	gi|123442459|ref|YP_001006438.1| DNA topoisomerase I [Yersinia enterocolitica subsp. enterocolitica 8081]
HFACCJHN_01602	1	474	+	NAD(P)_transhydrogenase_subunit_beta	1-480/482	2/6	98.34	85.2	victors	YP_001968692.1	Victors_190150167	gi|190150167|ref|YP_001968692.1| NAD(P) transhydrogenase subunit beta [Actinobacillus pleuropneumoniae serovar 7 str. AP76]
HFACCJHN_01652	12	352	+	phospho-2-dehydro-3-deoxyheptonate_aldolase	7-342/351	2/5	95.73	62.2	victors	YP_003083878.1	Victors_254805657	gi|254805657|ref|YP_003083878.1| phospho-2-dehydro-3-deoxyheptonate aldolase [Neisseria meningitidis alpha14]
HFACCJHN_01766	1	569	+	acetolactate_synthase_3_catalytic_subunit	1-570/574	1/1	99.13	80.5	victors	YP_001651736.1	Victors_165976143	gi|165976143|ref|YP_001651736.1| acetolactate synthase 3 catalytic subunit [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
