SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
HFACCJHN_01101	1	957	+	(msbB)	1-957/957	0/0	100.0	98.02	VFDB	VFG013254(gb|NP_438368)	[LOS_(CVF494)]	 VFG013254(gb|NP_438368) (msbB) lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase [LOS (CVF494)]
HFACCJHN_01218	1	1068	+	(wecA)	1-1068/1068	0/0	100.0	98.5	VFDB	VFG013508(gb|NP_439858)	[LOS_(CVF494)]	 VFG013508(gb|NP_439858) (wecA) undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase [LOS (CVF494)]
HFACCJHN_01234	1	1206	+	(lsgA)	1-1206/1206	0/0	100.0	98.01	VFDB	VFG013503(gb|NP_439842)	[LOS_(CVF494)]	 VFG013503(gb|NP_439842) (lsgA) lipopolysaccharide biosynthesis transporter [LOS (CVF494)]
HFACCJHN_01235	1	915	+	(lsgB)	1-915/915	0/0	100.0	99.02	VFDB	VFG013500(gb|NP_439841)	[LOS_(CVF494)]	 VFG013500(gb|NP_439841) (lsgB) sialyltransferase [LOS (CVF494)]
HFACCJHN_01236	1	1062	+	(lsgC)	1-1062/1062	0/0	100.0	98.02	VFDB	VFG013496(gb|NP_439840)	[LOS_(CVF494)]	 VFG013496(gb|NP_439840) (lsgC) glycosyltransferase [LOS (CVF494)]
HFACCJHN_01237	1	774	+	(lsgD)	1-774/774	0/0	100.0	96.0	VFDB	VFG013491(gb|NP_439839)	[LOS_(CVF494)]	 VFG013491(gb|NP_439839) (lsgD) glycosyltransferase [LOS (CVF494)]
HFACCJHN_01238	1	885	+	(lsgE)	1-885/885	2/2	99.89	94.69	VFDB	VFG013487(gb|NP_439838)	[LOS_(CVF494)]	 VFG013487(gb|NP_439838) (lsgE) glycosyltransferase [LOS (CVF494)]
HFACCJHN_01239	19	804	+	(lsgF)	1-786/786	0/0	100.0	97.96	VFDB	VFG013482(gb|NP_439837)	[LOS_(CVF494)]	 VFG013482(gb|NP_439837) (lsgF) glycosyltransferase [LOS (CVF494)]
HFACCJHN_01363	1	675	+	(neuA)	13-687/687	0/0	98.25	98.37	VFDB	VFG013424(gb|NP_439432)	[LOS_(CVF494)]	 VFG013424(gb|NP_439432) (neuA) acylneuraminate cytidylyltransferase [LOS (CVF494)]
HFACCJHN_01633	1	1431	+	(rfaE)	1-1431/1431	0/0	100.0	94.97	VFDB	VFG000331(gb|NP_439675)	[LOS_(VF0044)]	 VFG000331(gb|NP_439675) (rfaE) ADP-heptose synthase [LOS (VF0044)]
HFACCJHN_01634	1	936	+	(htrB)	1-936/936	0/0	100.0	95.3	VFDB	VFG013436(gb|NP_439676)	[LOS_(CVF494)]	 VFG013436(gb|NP_439676) (htrB) lipid A biosynthesis lauroyl acyltransferase [LOS (CVF494)]
HFACCJHN_01642	1	804	+	(licA)	1-804/804	0/0	100.0	98.26	VFDB	VFG000326(gb|NP_439686)	[LOS_(VF0044)]	 VFG000326(gb|NP_439686) (licA) choline kinase [LOS (VF0044)]
HFACCJHN_01643	1	879	+	(licB)	1-879/879	0/0	100.0	98.52	VFDB	VFG000327(gb|NP_439687)	[LOS_(VF0044)]	 VFG000327(gb|NP_439687) (licB) choline permease [LOS (VF0044)]
HFACCJHN_01644	1	702	+	(licC)	1-702/702	0/0	100.0	96.3	VFDB	VFG000328(gb|NP_439688)	[LOS_(VF0044)]	 VFG000328(gb|NP_439688) (licC) phosphocholine cytidyltransferase [LOS (VF0044)]
HFACCJHN_01645	1	798	+	(licD)	1-798/798	33/40	97.49	78.48	VFDB	VFG000329(gb|NP_439689)	[LOS_(VF0044)]	 VFG000329(gb|NP_439689) (licD) phosphocholine transferase [LOS (VF0044)]
HFACCJHN_01662	1	855	+	(kdsA)	1-855/855	0/0	100.0	98.95	VFDB	VFG013465(gb|NP_439706)	[LOS_(CVF494)]	 VFG013465(gb|NP_439706) (kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LOS (CVF494)]
HFACCJHN_01670	178	981	+	(licA)	1-804/804	0/0	100.0	98.26	VFDB	VFG000326(gb|NP_439686)	[LOS_(VF0044)]	 VFG000326(gb|NP_439686) (licA) choline kinase [LOS (VF0044)]
HFACCJHN_01671	1	879	+	(licB)	1-879/879	0/0	100.0	98.52	VFDB	VFG000327(gb|NP_439687)	[LOS_(VF0044)]	 VFG000327(gb|NP_439687) (licB) choline permease [LOS (VF0044)]
HFACCJHN_01672	1	702	+	(licC)	1-702/702	0/0	100.0	96.3	VFDB	VFG000328(gb|NP_439688)	[LOS_(VF0044)]	 VFG000328(gb|NP_439688) (licC) phosphocholine cytidyltransferase [LOS (VF0044)]
HFACCJHN_01673	1	798	+	(licD)	1-798/798	0/0	100.0	92.61	VFDB	VFG000329(gb|NP_439689)	[LOS_(VF0044)]	 VFG000329(gb|NP_439689) (licD) phosphocholine transferase [LOS (VF0044)]
HFACCJHN_01760	1	972	+	(lgtA)	1-972/972	0/0	100.0	98.97	VFDB	VFG013471(gb|NP_439724)	[LOS_(CVF494)]	 VFG013471(gb|NP_439724) (lgtA) N-acetylglucosamine glycosyltransferase  [LOS (CVF494)]
HFACCJHN_01794	1	666	+	(hifD)	1-651/651	8/23	99.39	84.03	VFDB	VFG001147(gb|CAA83903)	[Haemagglutinating_pili_(VF0036)]	 VFG001147(gb|CAA83903) (hifD) minor structural protein [Haemagglutinating pili (VF0036)]
HFACCJHN_01795	1	2514	+	(hifC)	1-2514/2514	0/0	100.0	93.83	VFDB	VFG001146(gb|CAA83902)	[Haemagglutinating_pili_(VF0036)]	 VFG001146(gb|CAA83902) (hifC) membrane anchor [Haemagglutinating pili (VF0036)]
HFACCJHN_01796	1	699	+	(hifB)	13-711/711	0/0	98.31	97.57	VFDB	VFG001145(gb|CAA83901)	[Haemagglutinating_pili_(VF0036)]	 VFG001145(gb|CAA83901) (hifB) periplasmic chaperone [Haemagglutinating pili (VF0036)]
HFACCJHN_01797	1	651	+	(hifA)	1-642/642	7/11	99.84	86.66	VFDB	VFG001144(gb|CAA83905)	[Haemagglutinating_pili_(VF0036)]	 VFG001144(gb|CAA83905) (hifA) Haemagglutinating pilus pilin [Haemagglutinating pili (VF0036)]
HFACCJHN_01868	1	585	+	(gmhA/lpcA)	1-585/585	0/0	100.0	98.97	VFDB	VFG013418(gb|NP_439337)	[LOS_(CVF494)]	 VFG013418(gb|NP_439337) (gmhA/lpcA) phosphoheptose isomerase [LOS (CVF494)]
HFACCJHN_01884	1	1047	+	(ompP5)	1-1062/1062	9/15	98.59	93.69	VFDB	VFG000335(gb|NP_439322)	[P5_protein_(VF0041)]	 VFG000335(gb|NP_439322) (ompP5) outer membrane protein P5 (ompA), human factor H binding protein [P5 protein (VF0041)]
HFACCJHN_01898	1	666	+	(hifD)	1-651/651	8/23	99.39	84.03	VFDB	VFG001147(gb|CAA83903)	[Haemagglutinating_pili_(VF0036)]	 VFG001147(gb|CAA83903) (hifD) minor structural protein [Haemagglutinating pili (VF0036)]
HFACCJHN_01899	1	2514	+	(hifC)	1-2514/2514	0/0	100.0	93.83	VFDB	VFG001146(gb|CAA83902)	[Haemagglutinating_pili_(VF0036)]	 VFG001146(gb|CAA83902) (hifC) membrane anchor [Haemagglutinating pili (VF0036)]
HFACCJHN_01900	35	714	+	(hifB)	32-711/711	0/0	95.64	96.62	VFDB	VFG001145(gb|CAA83901)	[Haemagglutinating_pili_(VF0036)]	 VFG001145(gb|CAA83901) (hifB) periplasmic chaperone [Haemagglutinating pili (VF0036)]
HFACCJHN_01901	1	639	+	(hifA)	1-642/642	31/45	96.26	74.96	VFDB	VFG001144(gb|CAA83905)	[Haemagglutinating_pili_(VF0036)]	 VFG001144(gb|CAA83905) (hifA) Haemagglutinating pilus pilin [Haemagglutinating pili (VF0036)]
HFACCJHN_01910	1	918	+	(lpxC)	1-918/918	0/0	100.0	99.56	VFDB	VFG013412(gb|NP_439302)	[LOS_(CVF494)]	 VFG013412(gb|NP_439302) (lpxC) UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase [LOS (CVF494)]
HFACCJHN_01938	1	927	+	(rfaD)	1-927/927	0/0	100.0	97.84	VFDB	VFG000332(gb|NP_439271)	[LOS_(VF0044)]	 VFG000332(gb|NP_439271) (rfaD) ADP-L-glycero-D-mannoheptose-6-epimerase [LOS (VF0044)]
HFACCJHN_01939	1	1041	+	(rfaF)	1-1041/1041	0/0	100.0	98.37	VFDB	VFG013400(gb|NP_439262)	[LOS_(CVF494)]	 VFG013400(gb|NP_439262) (rfaF) ADP-heptose-LPS heptosyltransferase II [LOS (CVF494)]
HFACCJHN_01982	1	789	+	(lpxA)	1-789/789	0/0	100.0	99.75	VFDB	VFG013390(gb|NP_439219)	[LOS_(CVF494)]	 VFG013390(gb|NP_439219) (lpxA) UDP-N-acetylglucosamine acyltransferase [LOS (CVF494)]
HFACCJHN_01983	1	1173	+	(lpxB)	1-1173/1173	0/0	100.0	98.64	VFDB	VFG013384(gb|NP_439218)	[LOS_(CVF494)]	 VFG013384(gb|NP_439218) (lpxB) lipid-A-disaccharide synthase [LOS (CVF494)]
