# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* HOLGGCEK_00001      K03495  294.00 1004.9  2.4e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  HOLGGCEK_00001      K22699  262.43   19.5   4.6e-05 sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]
  HOLGGCEK_00001      K09845  531.57   19.4   2.7e-05 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]
  HOLGGCEK_00001      K00303  309.40   19.3   3.3e-05 sarcosine oxidase, subunit beta [EC:1.5.3.1]
  HOLGGCEK_00001      K16033  634.67   19.0   3.9e-05 FADH2-dependent halogenase
  HOLGGCEK_00001      K03153  264.43   19.0   6.1e-05 glycine oxidase [EC:1.4.3.19]
  HOLGGCEK_00001      K03387  349.77   18.8   4.9e-05 NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
  HOLGGCEK_00001      K05898  303.93   18.3   4.9e-05 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
  HOLGGCEK_00001      K20158       -   18.2   6.2e-05 pseudooxynicotine oxidase [EC:1.4.3.24]
  HOLGGCEK_00001      K03185  415.73   18.2   6.9e-05 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
  HOLGGCEK_00001      K18800  456.00   17.6   8.5e-05 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]
  HOLGGCEK_00001      K21061  265.07   17.5   0.00012 D-hydroxyproline dehydrogenase subunit beta [EC:1.5.99.-]
  HOLGGCEK_00001      K10960  199.53   17.2   0.00015 geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
  HOLGGCEK_00001      K20169       -   17.0   0.00017 nicotine oxidoreductase [EC:1.5.3.-]
  HOLGGCEK_00001      K16431  472.43   16.7   0.00027 FAD-dependent halogenase [EC:1.14.19.-]
  HOLGGCEK_00001      K22086 1336.03   16.7    0.0001 methylglutamate dehydrogenase subunit C [EC:1.5.99.5]
  HOLGGCEK_00001      K21833  739.10   16.4   0.00017 dimethylglycine catabolism A
  HOLGGCEK_00001      K13796  345.73   16.4    0.0002 tricarballylate dehydrogenase
  HOLGGCEK_00001      K02292 1004.30   16.4   0.00022 beta-carotene ketolase (CrtO type)
  HOLGGCEK_00001      K18556  922.97   15.7   0.00035 NADH-dependent fumarate reductase subunit A [EC:1.3.1.6]
  HOLGGCEK_00001      K19746  265.43   15.3   0.00098 D-arginine dehydrogenase [EC:1.4.99.6]
  HOLGGCEK_00001      K21739  458.30   15.2   0.00069 probable pyridine nucleotide-disulfide oxidoreductase
  HOLGGCEK_00001      K00316  301.67   14.9   0.00097 spermidine dehydrogenase [EC:1.5.99.6]
  HOLGGCEK_00001      K16051  381.87   14.8   0.00069 3-oxo-5alpha-steroid 4-dehydrogenase [EC:1.3.99.5]
  HOLGGCEK_00001      K00360  528.77   14.1    0.0013 assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
  HOLGGCEK_00001      K10210  532.23   13.9    0.0014 diapolycopene oxygenase [EC:1.14.99.44]
  HOLGGCEK_00001      K16873  522.50   13.9    0.0016 5-(hydroxymethyl)furfural/furfural oxidase [EC:1.1.3.47 1.1.3.-]
  HOLGGCEK_00001      K00317  741.73   13.1    0.0016 dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
  HOLGGCEK_00001      K10797  673.07   13.1    0.0018 2-enoate reductase [EC:1.3.1.31]
  HOLGGCEK_00001      K03380  320.57   13.0    0.0022 phenol 2-monooxygenase (NADPH) [EC:1.14.13.7]
  HOLGGCEK_00001      K22480 1085.43   12.9    0.0017 heterodisulfide reductase subunit A1 [EC:1.8.7.3]
  HOLGGCEK_00001      K00383  559.57   12.9    0.0023 glutathione reductase (NADPH) [EC:1.8.1.7]
  HOLGGCEK_00001      K00259  292.43   12.7    0.0046 alanine dehydrogenase [EC:1.4.1.1]
  HOLGGCEK_00001      K22270  440.70   12.6    0.0041 3-hydroxybenzoate 6-monooxygenase [EC:1.14.13.24]
  HOLGGCEK_00001      K00219  581.60   12.6    0.0023 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
  HOLGGCEK_00001      K16886  813.73   12.6    0.0029 quinone-modifying oxidoreductase, subunit QmoB
  HOLGGCEK_00001      K23842  539.43   12.6    0.0045 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  HOLGGCEK_00001      K00274  244.23   12.5    0.0032 monoamine oxidase [EC:1.4.3.4]
  HOLGGCEK_00001      K00322  430.37   12.3    0.0038 NAD(P) transhydrogenase [EC:1.6.1.1]
  HOLGGCEK_00001      K04940  210.63   12.2    0.0064 opine dehydrogenase [EC:1.5.1.28]
  HOLGGCEK_00001      K15545  485.43   12.1    0.0065 transcriptional regulator of PTS gene
  HOLGGCEK_00001      K00301  373.27   12.0     0.006 sarcosine oxidase [EC:1.5.3.1]
  HOLGGCEK_00001      K21256       -   11.8    0.0075 flavin-dependent halogenase
  HOLGGCEK_00001      K02565  421.23   11.7    0.0076 N-acetylglucosamine repressor
  HOLGGCEK_00001      K19069  336.73   11.6    0.0046 cellobiose dehydrogenase (acceptor) [EC:1.1.99.18]
  HOLGGCEK_00001      K07077  347.33   11.6     0.006 uncharacterized protein
  HOLGGCEK_00001      K21054  761.73   11.6     0.006 D-erythritol 1-phosphate dehydrogenase [EC:1.1.1.402]
  HOLGGCEK_00001      K00394  351.50   11.6    0.0063 adenylylsulfate reductase, subunit A [EC:1.8.99.2]
  HOLGGCEK_00001      K10027  522.20   11.5    0.0086 phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
  HOLGGCEK_00001      K00520  467.17   11.1    0.0069 mercuric reductase [EC:1.16.1.1]
  HOLGGCEK_00001      K07222  281.03   10.9     0.013 putative flavoprotein involved in K+ transport
  HOLGGCEK_00001      K19813  679.43   10.8     0.011 glucose dehydrogenase [EC:1.1.5.9]
  HOLGGCEK_00001      K03333  333.37   10.7     0.012 cholesterol oxidase [EC:1.1.3.6]
  HOLGGCEK_00001      K15461  171.00   10.5     0.012 tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
  HOLGGCEK_00001      K00285  271.80   10.4     0.016 D-amino-acid dehydrogenase [EC:1.4.5.1]
  HOLGGCEK_00001      K17870  464.10    9.6     0.028 NADH oxidase (H2O2-forming) [EC:1.6.3.3]
  HOLGGCEK_00001      K00511  178.30    7.0      0.16 squalene monooxygenase [EC:1.14.14.17]
  HOLGGCEK_00001      K01589  267.47    6.6      0.24 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
  HOLGGCEK_00001      K00115  812.30    5.9      0.25 glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
* HOLGGCEK_00002      K02950   77.53  246.6   2.3e-74 small subunit ribosomal protein S12
* HOLGGCEK_00003      K02992  111.57  232.5   3.8e-70 small subunit ribosomal protein S7
* HOLGGCEK_00004      K02355  559.23 1143.5         0 elongation factor G
  HOLGGCEK_00004      K18220  609.00  489.8  1.3e-147 ribosomal protection tetracycline resistance protein
  HOLGGCEK_00004      K03234  891.60  317.6   1.4e-95 elongation factor 2
  HOLGGCEK_00004      K02837  420.53  267.7   1.5e-80 peptide chain release factor 3
  HOLGGCEK_00004      K21594 1049.63  204.3   2.9e-61 translation factor GUF1, mitochondrial [EC:3.6.5.-]
  HOLGGCEK_00004      K06207  327.77  134.3   3.5e-40 GTP-binding protein
  HOLGGCEK_00004      K03596  935.80  114.8   2.8e-34 GTP-binding protein LepA
  HOLGGCEK_00004      K02519  320.17   59.4   1.9e-17 translation initiation factor IF-2
  HOLGGCEK_00004      K02358  343.50   45.8   3.2e-13 elongation factor Tu
  HOLGGCEK_00004      K03833  319.47   42.0   4.9e-12 selenocysteine-specific elongation factor
  HOLGGCEK_00004      K03231  462.87   31.6   5.5e-09 elongation factor 1-alpha
  HOLGGCEK_00004      K00955  740.83   30.3   1.5e-08 bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
  HOLGGCEK_00004      K00956  528.60   21.2   8.9e-06 sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
  HOLGGCEK_00004      K03977  241.47   18.5   5.1e-05 GTPase
  HOLGGCEK_00004      K03595  147.93   18.3   6.8e-05 GTPase
  HOLGGCEK_00004      K02844  199.57   11.5    0.0086 UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
* HOLGGCEK_00005      K02358  343.50  813.7    7e-246 elongation factor Tu
  HOLGGCEK_00005      K03833  319.47  267.8   2.2e-80 selenocysteine-specific elongation factor
  HOLGGCEK_00005      K03231  462.87  198.5   1.6e-59 elongation factor 1-alpha
  HOLGGCEK_00005      K00955  740.83  147.0   7.6e-44 bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
  HOLGGCEK_00005      K00956  528.60  129.1   1.8e-38 sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
  HOLGGCEK_00005      K06207  327.77  117.6   3.9e-35 GTP-binding protein
  HOLGGCEK_00005      K03242  249.50  105.6   2.3e-31 translation initiation factor 2 subunit 3
  HOLGGCEK_00005      K02519  320.17   95.5   2.5e-28 translation initiation factor IF-2
  HOLGGCEK_00005      K18220  609.00   90.6   6.5e-27 ribosomal protection tetracycline resistance protein
  HOLGGCEK_00005      K03596  935.80   68.1   3.5e-20 GTP-binding protein LepA
  HOLGGCEK_00005      K02355  559.23   64.1   4.1e-19 elongation factor G
  HOLGGCEK_00005      K21594 1049.63   62.9   1.6e-18 translation factor GUF1, mitochondrial [EC:3.6.5.-]
  HOLGGCEK_00005      K02837  420.53   58.6   3.3e-17 peptide chain release factor 3
  HOLGGCEK_00005      K03234  891.60   56.4   1.2e-16 elongation factor 2
  HOLGGCEK_00005      K03595  147.93   26.1     3e-07 GTPase
  HOLGGCEK_00005      K03243  227.80   26.0   1.9e-07 translation initiation factor 5B
  HOLGGCEK_00005      K06883  382.20   13.7    0.0017 uncharacterized protein
  HOLGGCEK_00005      K03977  241.47   13.6    0.0016 GTPase
  HOLGGCEK_00005      K06949  100.63   13.1    0.0035 ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
  HOLGGCEK_00005      K00903  246.50   10.8     0.017 protein-tyrosine kinase [EC:2.7.10.2]
* HOLGGCEK_00006      K07237   38.83   79.6   1.6e-23 tRNA 2-thiouridine synthesizing protein B
* HOLGGCEK_00007      K07236   59.90  126.3   9.6e-38 tRNA 2-thiouridine synthesizing protein C
  HOLGGCEK_00007      K06039  117.93   21.0   2.4e-05 uncharacterized protein involved in oxidation of intracellular sulfur
  HOLGGCEK_00007      K07092   72.87   14.1    0.0032 uncharacterized protein
  HOLGGCEK_00007      K07235   85.93   12.9    0.0051 tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]
  HOLGGCEK_00007      K07237   38.83   11.9     0.014 tRNA 2-thiouridine synthesizing protein B
* HOLGGCEK_00008      K07235   85.93  134.7   2.9e-40 tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]
  HOLGGCEK_00008      K06039  117.93   41.9   8.3e-12 uncharacterized protein involved in oxidation of intracellular sulfur
  HOLGGCEK_00008      K00257  427.60   11.2     0.011 acyl-ACP dehydrogenase [EC:1.3.99.-]
  HOLGGCEK_00009      K21829  170.73  106.5   1.5e-31 D-arginine utilization repressor
  HOLGGCEK_00009      K07499   68.23   16.4   0.00056 putative transposase
  HOLGGCEK_00010      K03773  288.60  240.5   3.2e-72 FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
* HOLGGCEK_00010      K03772  183.27  220.7   3.3e-66 FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
  HOLGGCEK_00010      K09568  182.10  128.3   3.8e-38 FK506-binding protein 1 [EC:5.2.1.8]
  HOLGGCEK_00010      K01802  111.10   87.7   1.1e-25 peptidylprolyl isomerase [EC:5.2.1.8]
  HOLGGCEK_00010      K03775  155.03   30.6   1.9e-08 FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
  HOLGGCEK_00010      K03774  135.27   26.5   4.2e-07 FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]
  HOLGGCEK_00010      K03767  223.90   19.7   5.2e-05 peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
  HOLGGCEK_00010      K01302  279.73   15.6   0.00046 carboxypeptidase Q [EC:3.4.17.-]
  HOLGGCEK_00010      K02109   43.97   12.3     0.011 F-type H+-transporting ATPase subunit b
* HOLGGCEK_00011      K03745   37.73   83.0   1.9e-24 SlyX protein
  HOLGGCEK_00011      K11686  105.90   14.0    0.0033 chromosome-anchoring protein RacA
  HOLGGCEK_00011      K10374  365.60   13.6    0.0027 tropomyosin 2
  HOLGGCEK_00011      K11901  137.00   13.2    0.0045 type VI secretion system protein ImpB
  HOLGGCEK_00011      K07681  390.33   11.5      0.01 two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]
  HOLGGCEK_00011      K24719  615.03   10.5     0.014 smc-like protein Sph1
  HOLGGCEK_00011      K22719  164.53    8.2     0.085 murein hydrolase activator
* HOLGGCEK_00012      K24136  333.23  456.8  1.1e-138 glutathione-dependent peroxiredoxin [EC:1.11.1.27]
  HOLGGCEK_00012      K23075  485.60  391.2  1.2e-118 glutathione amide-dependent peroxidase [EC:1.11.1.17]
  HOLGGCEK_00012      K24157  252.23  206.0   2.6e-62 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  HOLGGCEK_00012      K24138  209.20  164.5   1.4e-49 glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]
  HOLGGCEK_00012      K03676   80.13   78.8   4.9e-23 glutaredoxin 3
  HOLGGCEK_00012      K03674   90.20   43.8   2.1e-12 glutaredoxin 1
  HOLGGCEK_00012      K18917   77.70   42.2   6.9e-12 mycoredoxin [EC:1.20.4.3]
  HOLGGCEK_00012      K06191   77.17   35.9   5.6e-10 glutaredoxin-like protein NrdH
  HOLGGCEK_00012      K24129  143.67   34.7   1.2e-09 glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]
  HOLGGCEK_00012      K24158  308.77   29.2   4.4e-08 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  HOLGGCEK_00012      K03386  232.73   29.0   6.8e-08 peroxiredoxin 2/4 [EC:1.11.1.24]
  HOLGGCEK_00012      K07390   80.43   25.4   9.3e-07 monothiol glutaredoxin
  HOLGGCEK_00012      K24120  171.40   24.3   1.7e-06 mycoredoxin-dependent peroxiredoxin [EC:1.11.1.29]
  HOLGGCEK_00012      K03564  153.93   24.2   1.5e-06 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  HOLGGCEK_00012      K11065  125.60   21.6     1e-05 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
  HOLGGCEK_00012      K24126  219.83   20.2     3e-05 lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]
  HOLGGCEK_00012      K24119  251.63   19.8   3.8e-05 NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]
  HOLGGCEK_00012      K16509   93.03   17.0   0.00038 regulatory protein spx
  HOLGGCEK_00012      K03675  130.40   16.6   0.00048 glutaredoxin 2
  HOLGGCEK_00012      K13279  395.10   14.9    0.0013 peroxiredoxin 1 [EC:1.11.1.24]
  HOLGGCEK_00012      K03599  167.77   13.4    0.0028 stringent starvation protein A
  HOLGGCEK_00012      K03981  113.43   12.0    0.0098 thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
* HOLGGCEK_00013      K04761  278.23  406.5  1.2e-122 LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
  HOLGGCEK_00013      K09681  289.03  238.9   8.8e-72 LysR family transcriptional regulator, transcription activator of glutamate synthase operon
  HOLGGCEK_00013      K11921  279.23  234.3   2.4e-70 LysR family transcriptional regulator, cyn operon transcriptional activator
  HOLGGCEK_00013      K21757  291.87  228.8   1.2e-68 LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
  HOLGGCEK_00013      K17737  272.53  210.3   4.1e-63 LysR family transcriptional regulator, carnitine catabolism transcriptional activator
  HOLGGCEK_00013      K21900  290.73  209.6   7.6e-63 LysR family transcriptional regulator, transcriptional activator of the cysJI operon
  HOLGGCEK_00013      K19338  278.33  201.9   1.8e-60 LysR family transcriptional regulator, nitrogen assimilation regulatory protein
  HOLGGCEK_00013      K21703  295.30  198.8   1.3e-59 LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
  HOLGGCEK_00013      K21711  375.47  190.1   5.5e-57 LysR family transcriptional regulator, putative pyruvate carboxylase regulator
  HOLGGCEK_00013      K05817  291.27  188.1   2.2e-56 LysR family transcriptional regulator, hca operon transcriptional activator
  HOLGGCEK_00013      K14057  293.60  182.4   9.5e-55 LysR family transcriptional regulator, regulator of abg operon
  HOLGGCEK_00013      K21755  246.80  171.2   2.7e-51 LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD
  HOLGGCEK_00013      K21960  249.03  164.5   3.1e-49 LysR family transcriptional regulator, regulator of the ytmI operon
  HOLGGCEK_00013      K21959  234.53  159.9   7.4e-48 LysR family transcriptional regulator, cell division regulator
  HOLGGCEK_00013      K02623  235.53  159.0   1.2e-47 LysR family transcriptional regulator, pca operon transcriptional activator
  HOLGGCEK_00013      K13634  445.20  158.8     2e-47 LysR family transcriptional regulator, cys regulon transcriptional activator
  HOLGGCEK_00013      K03576  222.13  142.4   1.7e-42 LysR family transcriptional regulator, regulator for metE and metH
  HOLGGCEK_00013      K16516  295.33  138.4   2.2e-41 LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
  HOLGGCEK_00013      K13794  329.80  128.9     2e-38 LysR family transcriptional regulator, regulatory protein for tcuABC
  HOLGGCEK_00013      K19242  251.93  123.8   7.7e-37 LysR family transcriptional regulator, repressor for citA
  HOLGGCEK_00013      K02521  223.70  118.9     2e-35 LysR family transcriptional regulator, positive regulator for ilvC
  HOLGGCEK_00013      K23773  202.80  115.6   3.5e-34 LysR family transcriptional regulator, flagellar master operon regulator
  HOLGGCEK_00013      K07592  328.87  110.7   6.2e-33 LysR family transcriptional regulator, tdc operon transcriptional activator
  HOLGGCEK_00013      K21645  177.70  108.7   3.5e-32 LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT
  HOLGGCEK_00013      K13635  458.70  106.3   1.6e-31 LysR family transcriptional regulator, cys regulon transcriptional activator
  HOLGGCEK_00013      K10918  288.87  101.3   5.8e-30 LysR family transcriptional regulator, transcriptional activator AphB
  HOLGGCEK_00013      K03717  181.00   97.8   5.1e-29 LysR family transcriptional regulator, transcriptional activator of nhaA
  HOLGGCEK_00013      K13928  258.00   95.5   2.4e-28 LysR family transcriptional regulator, malonate utilization transcriptional regulator
  HOLGGCEK_00013      K21698  281.30   93.9   9.8e-28 LysR family transcriptional regulator, transcriptional activator for aaeXAB operon
  HOLGGCEK_00013      K21699  210.40   88.9   3.2e-26 LysR family transcriptional regulator, transcriptional activator for bauABCD operon
  HOLGGCEK_00013      K03566  204.87   85.3   4.2e-25 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
  HOLGGCEK_00013      K21756  596.50   80.0   1.5e-23 LysR family transcriptional regulator, cis,cis-muconate-responsive activator of cat and ben genes
  HOLGGCEK_00013      K18900  332.13   77.8   7.3e-23 LysR family transcriptional regulator, regulator for bpeEF and oprC
  HOLGGCEK_00013      K16135  332.87   72.0   3.6e-21 LysR family transcriptional regulator, transcriptional activator for dmlA
  HOLGGCEK_00013      K13636  335.30   63.2   1.7e-18 LysR family transcriptional regulator, D-serine deaminase activator
  HOLGGCEK_00013      K17850  329.47   61.7   5.8e-18 LysR family transcriptional regulator, regulator of gene expression of beta-lactamase
  HOLGGCEK_00013      K05798  250.47   59.8   2.4e-17 LysR family transcriptional regulator, transcriptional activator for leuABCD operon
  HOLGGCEK_00013      K18297  275.70   54.4   1.3e-15 LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator
  HOLGGCEK_00013      K10972  354.87   48.9   4.3e-14 LysR family transcriptional regulator, transcriptional activator of the allD operon
  HOLGGCEK_00013      K21742  511.00   48.2   6.4e-14 LysR family transcriptional regulator, transcriptional activator for ttdABT operon
  HOLGGCEK_00013      K14657  278.77   42.6   4.5e-12 LysR family transcriptional regulator, nod-box dependent transcriptional activator
  HOLGGCEK_00013      K05596  140.07   40.0   1.9e-11 LysR family transcriptional regulator, chromosome initiation inhibitor
  HOLGGCEK_00013      K24082  517.17   38.4   6.7e-11 LysR family transcriptional regulator, regulator of peptidoglycan recycling
  HOLGGCEK_00013      K18927  405.70   36.5   1.9e-10 LysR family transcriptional regulator, L-lactate utilization regulator
  HOLGGCEK_00013      K19618  655.70   31.4   1.1e-08 LysR family transcriptional regulator, activator of insecticidal toxin
  HOLGGCEK_00013      K22879  195.83   19.2   2.4e-05 FAD-dependent urate hydroxylase [EC:1.14.13.113]
  HOLGGCEK_00013      K22711  388.63   17.4   0.00014 LysR family transcriptional regulator, pyoluteorin biosynthesis regulator
  HOLGGCEK_00013      K19555  436.10   13.2    0.0036 LysR family transcriptional regulator, spv operon transcriptional activator
* HOLGGCEK_00014      K22105   82.30  305.0   3.9e-92 TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator
  HOLGGCEK_00014      K21961  105.73   57.0   2.4e-16 TetR/AcrR family transcriptional regulator, ethionamide resistance regulator
  HOLGGCEK_00014      K18135  231.07   55.8   6.9e-16 TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon
  HOLGGCEK_00014      K16137  116.57   53.7   2.6e-15 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
  HOLGGCEK_00014      K09017  118.13   52.0   1.2e-14 TetR/AcrR family transcriptional regulator
  HOLGGCEK_00014      K13770  134.53   50.9   1.5e-14 TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein
  HOLGGCEK_00014      K22108  133.27   48.9   4.9e-14 TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator
  HOLGGCEK_00014      K21962  144.67   48.2   1.4e-13 TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase
  HOLGGCEK_00014      K18140  242.37   46.6   3.3e-13 TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor
  HOLGGCEK_00014      K19736  163.07   44.1   2.6e-12 TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness
  HOLGGCEK_00014      K18136  169.53   43.4   3.6e-12 TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor
  HOLGGCEK_00014      K22106  142.57   43.2   4.3e-12 TetR/AcrR family transcriptional regulator, repressor of fatR-cypB operon
  HOLGGCEK_00014      K23777  123.67   42.7   7.5e-12 TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity
  HOLGGCEK_00014      K18476   84.00   42.2     7e-12 TetR/AcrR family transcriptional regulator, tetracycline repressor protein
  HOLGGCEK_00014      K03577  238.50   40.0   3.2e-11 TetR/AcrR family transcriptional regulator, acrAB operon repressor
  HOLGGCEK_00014      K16138  166.23   39.1   6.5e-11 TetR/AcrR family transcriptional regulator, repressor for uid operon
  HOLGGCEK_00014      K18301  170.67   38.2   1.3e-10 TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor
  HOLGGCEK_00014      K22107   96.23   36.4   4.3e-10 TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator
  HOLGGCEK_00014      K21453  105.53   34.4   2.7e-09 TetR/AcrR family transcriptional regulator, biofilm operon repressor
  HOLGGCEK_00014      K23778  114.90   34.1   2.5e-09 TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response
  HOLGGCEK_00014      K18939  149.30   31.9   9.3e-09 TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor
